name	image	price	location	time	jan	feb	mar	apr	may	jun	jul	aug	sep	oct	nov	dec
Rice grasshopper	https://vignette.wikia.nocookie.net/animalcrossing/images/3/3c/Rice_Grasshopper_HHD_Icon.png/revision/latest?cb=20161105203817	160	On the Ground	8 AM - 7 PM	-	-	-	-	-	-	-	✓	✓	✓	✓	-
Grasshopper	https://vignette.wikia.nocookie.net/animalcrossing/images/4/47/Grasshopper_HHD_Icon.png/revision/latest?cb=20161105195832	160	On the Ground	8 AM - 5 PM	-	-	-	-	-	-	✓	✓	✓	-	-	-
Cricket	https://vignette.wikia.nocookie.net/animalcrossing/images/0/0a/Cricket_HHD_Icon.png/revision/latest?cb=20161105194652	130	On the Ground	5 PM - 8 AM	-	-	-	-	-	-	-	-	✓	✓	✓	-
Bell cricket	https://vignette.wikia.nocookie.net/animalcrossing/images/b/b2/Bell_Cricket_HHD_Icon.png/revision/latest?cb=20161105193526	430	On the Ground	5 PM - 8 AM	-	-	-	-	-	-	-	-	✓	✓	-	-
Mantis	https://vignette.wikia.nocookie.net/animalcrossing/images/1/1e/Mantis_HHD_Icon.png/revision/latest?cb=20161105201758	430	On Flowers	8 AM - 5 PM	-	-	✓	✓	✓	✓	✓	✓	✓	✓	✓	-
Orchid mantis	https://vignette.wikia.nocookie.net/animalcrossing/images/6/64/Orchid_Mantis_HHD_Icon.png/revision/latest?cb=20161105202812	2400	On Flowers (White)	8 AM - 5 PM	-	-	✓	✓	✓	✓	✓	✓	✓	✓	✓	-
Honeybee	https://vignette.wikia.nocookie.net/animalcrossing/images/d/dc/Honeybee_HHD_Icon.png/revision/latest?cb=20161105200818	200	Flying	8 AM - 5 PM	-	-	✓	✓	✓	✓	✓	-	-	-	-	-
Wasp	https://vignette.wikia.nocookie.net/animalcrossing/images/a/ae/Bee_HHD_Icon.png/revision/latest?cb=20161105193523	2500	Shaking Trees	All day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Brown cicada	https://vignette.wikia.nocookie.net/animalcrossing/images/2/21/Brown_Cicada_HHD.png/revision/latest/scale-to-width-down/60?cb=20200326030910	250	On Trees	8 AM - 5 PM	-	-	-	-	-	-	✓	✓	-	-	-	-
Robust cicada	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d6/Robust_Cicada_HHD.png/revision/latest/scale-to-width-down/60?cb=20200326030952	300	On Trees	8 AM - 5 PM	-	-	-	-	-	-	✓	✓	-	-	-	-
Giant cicada	https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/Giant_Cicada_HHD.png/revision/latest/scale-to-width-down/60?cb=20200326030936	500	On Trees	8 AM - 5 PM	-	-	-	-	-	-	✓	✓	-	-	-	-
Walker cicada	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/Walker_Cicada_HHD_Icon.png/revision/latest?cb=20161105205518	400	On Trees	8 AM - 5 PM	-	-	-	-	-	-	-	✓	✓	-	-	-
Evening cicada	https://vignette.wikia.nocookie.net/animalcrossing/images/5/55/Evening_Cicada_HHD.png/revision/latest/scale-to-width-down/60?cb=20200326030923	550	On Trees	4 AM - 8 AM & 4 PM - 7 PM	-	-	-	-	-	-	✓	✓	-	-	-	-
Cicada shell	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7e/Cicada_Shell_HHD_Icon.png/revision/latest?cb=20161105194347	10	On Trees	All day	-	-	-	-	-	-	✓	✓	-	-	-	-
Red dragonfly	https://vignette.wikia.nocookie.net/animalcrossing/images/5/5f/Red_Dragonfly_HHD_Icon.png/revision/latest?cb=20161105203635	180	Flying	8 AM - 7 PM	-	-	-	-	-	-	-	-	✓	✓	-	-
Darner dragonfly	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6e/Darner_Dragonfly_HHD_Icon.png/revision/latest?cb=20161105194729	230	Flying	8 AM - 5 PM	-	-	-	✓	✓	✓	✓	✓	✓	✓	-	-
Banded dragonfly	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6e/Banded_Dragonfly_HHD_Icon.png/revision/latest?cb=20161105193443	4500	Flying	8 AM - 5 PM	-	-	-	-	✓	✓	✓	✓	✓	✓	-	-
Damselfly	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/Damselfly_NH_Icon.PNG/revision/latest?cb=20200323171426	500	Flying	All day	✓	✓	-	-	-	-	-	-	-	-	✓	✓
Firefly	NA	?	Flying	7 PM - 4 AM	-	-	-	-	-	✓	-	-	-	-	-	-
Mole cricket	https://vignette.wikia.nocookie.net/animalcrossing/images/4/4a/Mole_Cricket_HHD_Icon.png/revision/latest?cb=20161105202337	500	Underground	All day	✓	✓	✓	✓	✓	-	-	-	-	-	✓	✓
Pondskater	https://vignette.wikia.nocookie.net/animalcrossing/images/f/f3/Pondskater_HHD_Icon.png/revision/latest?cb=20161105203305	130	On Ponds and Rivers	8 AM - 7 PM	-	-	-	-	✓	✓	✓	✓	✓	-	-	-
Diving beetle	https://vignette.wikia.nocookie.net/animalcrossing/images/6/64/Diving_Beetle_HHD_Icon.png/revision/latest?cb=20161105194810	800	On Ponds and Rivers	8 AM - 7 PM	-	-	-	-	✓	✓	✓	✓	✓	-	-	-
Giant water bug	https://vignette.wikia.nocookie.net/animalcrossing/images/b/b2/Giant_Water_Bug_NH_Icon.PNG/revision/latest?cb=20200323171445	2000	On Ponds and Rivers	7 PM - 8 AM	-	-	-	✓	✓	✓	✓	✓	✓	-	-	-
Stinkbug	https://vignette.wikia.nocookie.net/animalcrossing/images/f/f3/Stinkbug_%28New_Leaf_icon%29.PNG/revision/latest?cb=20140917183505	120	On Flowers	All day	-	-	✓	✓	✓	✓	✓	✓	✓	✓	-	-
Man-faced stink bug	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c0/Man-faced_Stink_Bug_NH_Icon.PNG/revision/latest?cb=20200323171509	1000	On Flowers	7 PM - 8 AM	-	-	✓	✓	✓	✓	✓	✓	✓	✓	-	-
Ladybug	https://vignette.wikia.nocookie.net/animalcrossing/images/7/72/Ladybug_HHD_Icon.png/revision/latest?cb=20161105201243	200	On Flowers	8 AM - 5 PM	-	-	✓	✓	✓	✓	-	-	-	✓	-	-
Tiger beetle	https://vignette.wikia.nocookie.net/animalcrossing/images/7/73/Tiger_Beetle_HHD_Icon.png/revision/latest?cb=20161105205246	1500	On the Ground	All day	-	✓	✓	✓	✓	✓	✓	✓	✓	✓	-	-
Jewel beetle	NA	2400	On Tree Stumps	All day	-	-	-	✓	✓	✓	✓	✓	-	-	-	-
Violin beetle	https://vignette.wikia.nocookie.net/animalcrossing/images/5/55/Violinbeetle.png/revision/latest/scale-to-width-down/60?cb=20200325100134	450	On Tree Stumps	All day	-	-	-	-	✓	✓	-	-	✓	✓	✓	-
Citrus long-horned beetle	https://vignette.wikia.nocookie.net/animalcrossing/images/0/03/Citrus_Long-horned_Beetle_NH.png/revision/latest?cb=20200329033411	350	On Tree Stumps	All day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Rosalia batesi beetle	https://vignette.wikia.nocookie.net/animalcrossing/images/5/58/Rosalia_Batesi_Beetle_NH_Icon.PNG/revision/latest?cb=20200323171521	3000	On Tree Stumps	All day	-	-	-	-	✓	✓	✓	✓	✓	-	-	-
Blue weevil beetle	https://vignette.wikia.nocookie.net/animalcrossing/images/2/23/Blue_Weevil_Beetle_NH_Icon.PNG/revision/latest?cb=20200323171413	800	On Trees (Coconut?)	All day	-	-	-	-	-	-	✓	✓	-	-	-	-
Dung beetle	NA	3000	On the Ground (rolling snowballs)	All day	✓	✓	-	-	-	-	-	-	-	-	-	✓
Earth-boring dung beetle	https://vignette.wikia.nocookie.net/animalcrossing/images/5/51/Earth-Boring_Dung_Beetle_NH_Icon.PNG/revision/latest?cb=20200323171439	300	On the Ground	All day	-	-	-	-	-	-	✓	✓	✓	-	-	-
Scarab beetle	NA	10000	On Trees	11 PM - 8 AM	-	-	-	-	-	-	✓	✓	-	-	-	-
Drone beetle	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c3/Drone_Beetle_NH_Icon.PNG/revision/latest?cb=20200323171433	200	On Trees	All day	-	-	-	-	-	✓	✓	✓	-	-	-	-
Goliath beetle	NA	8000	On Trees (Coconut)	5 PM - 8 AM	-	-	-	-	-	✓	✓	✓	✓	-	-	-
Saw stag	NA	2000	On Trees	All day	-	-	-	-	-	-	✓	✓	-	-	-	-
Miyama stag	NA	1000	On Trees	All day	-	-	-	-	-	-	✓	✓	-	-	-	-
Giant stag	NA	10000	On Trees	11 PM - 8 AM	-	-	-	-	-	-	✓	✓	-	-	-	-
Rainbow stag	NA	6000	On Trees	7 PM - 8 AM	-	-	-	-	-	✓	✓	✓	✓	-	-	-
Cyclommatus stag	NA	8000	On Trees	5 PM - 8 AM	-	-	-	-	-	-	✓	✓	-	-	-	-
Golden stag	NA	?	On Trees	5 PM - 8 AM	-	-	-	-	-	-	✓	✓	-	-	-	-
Giraffe stag	https://vignette.wikia.nocookie.net/animalcrossing/images/8/8f/Giraffe_Stag_NH_Icon.PNG/revision/latest?cb=20200323171451	?	On Trees	5 PM - 8 AM	-	-	-	-	-	-	✓	✓	-	-	-	-
Horned dynastid	NA	1350	On Trees	5 PM - 8 AM	-	-	-	-	-	-	✓	✓	-	-	-	-
Horned atlas	NA	8000	On Trees	5 PM - 8 AM	-	-	-	-	-	-	✓	✓	-	-	-	-
Horned elephant	NA	8000	On Trees	5 PM - 8 AM	-	-	-	-	-	-	✓	✓	-	-	-	-
Horned hercules	NA	?	On Trees	5 PM - 8 AM	-	-	-	-	-	-	✓	✓	-	-	-	-
Walking stick	NA	600	On Trees	4 AM - 8 AM & 5 PM - 7 PM	-	-	-	-	-	-	✓	✓	✓	✓	✓	-
Walking leaf	https://vignette.wikia.nocookie.net/animalcrossing/images/a/ab/Walking_Leaf_HHD_Icon.png/revision/latest?cb=20161105205520	600	Under Trees Disguised as Leafs	All day	-	-	-	-	-	-	✓	✓	✓	-	-	-
Bagworm	https://vignette.wikia.nocookie.net/animalcrossing/images/0/02/Bagworm_HHD_Icon.png/revision/latest?cb=20161105192557	600	Shaking Trees	All day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Ant	https://vignette.wikia.nocookie.net/animalcrossing/images/1/12/Ant_HHD_Icon.png/revision/latest?cb=20161105192047	80	On rotten food	All day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Hermit crab	https://vignette.wikia.nocookie.net/animalcrossing/images/1/11/Hermit_Crab_HHD_Icon.png/revision/latest?cb=20161105200739	1000	Beach disguised as Shells	7 PM - 8 AM	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Wharf roach	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7d/Wharf_Roach_HHD_Icon.png/revision/latest?cb=20161105205618	200	On Beach Rocks	All day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Fly	https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/NH-Fly.png/revision/latest/scale-to-width-down/64?cb=20200327131214	60	On Trash Items	All Day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Mosquito	https://vignette.wikia.nocookie.net/animalcrossing/images/a/ad/NH-Mosquito.png/revision/latest/scale-to-width-down/64?cb=20200327131940	130	Flying	5 PM - 4 AM	-	-	-	-	-	✓	✓	✓	✓	-	-	-
Flea	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7b/NH-Flea.png/revision/latest/scale-to-width-down/64?cb=20200327131921	70	Villager's Heads	All day	-	-	-	✓	✓	✓	✓	✓	✓	✓	✓	-
Snail	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7c/NH-Snail.png/revision/latest/scale-to-width-down/64?cb=20200327132010	250	On Rocks (Rain)	All day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Pill bug	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6b/NH-Pill-Bug.png/revision/latest/scale-to-width-down/64?cb=20200327131954	250	Hitting Rocks	11 PM - 4 PM	✓	✓	✓	✓	✓	✓	-	-	✓	✓	✓	✓
Centipede	https://vignette.wikia.nocookie.net/animalcrossing/images/1/11/NH-Centipede.png/revision/latest/scale-to-width-down/64?cb=20200327131903	300	Hitting Rocks	4 PM - 11 PM	✓	✓	✓	✓	✓	✓	-	-	✓	✓	✓	✓
Spider	https://vignette.wikia.nocookie.net/animalcrossing/images/1/16/NH-Spider.png/revision/latest/scale-to-width-down/64?cb=20200327132028	480	Shaking Trees	7 PM - 8 AM	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Tarantula	https://vignette.wikia.nocookie.net/animalcrossing/images/a/aa/NH-Tarantula.png/revision/latest/scale-to-width-down/64?cb=20200327130827	8000	On the Ground	7 PM - 4 AM	✓	✓	✓	✓	-	-	-	-	-	-	✓	✓
Scorpion	https://vignette.wikia.nocookie.net/animalcrossing/images/4/48/NH-Scorpion.png/revision/latest/scale-to-width-down/64?cb=20200327125731	8000	On the Ground	7 PM - 4 AM	-	-	-	-	✓	✓	✓	✓	✓	✓	-	-
