recipe_name	image	obtained_from	item_sell_price	materials_needed	size
Key holder	NA	Island resident	1110	3 x wood, 1 x iron nugget	1.0x1.0
Leo sculpture	NA	Celeste	21975	3 x star fragment, 2 x Leo fragment, 2 x gold nugget, 3 x stone	1.0x1.0
Lily wreath	NA	Tom Nook after receiving first three housing kits, if flowers on top of the player's island are lilies;Message in a bottle	720	3 x white lilies, 3 x red lilies, 3 x yellow lilies	1.0x1.0
Log wall-mounted clock	NA	NA	990	2 x hardwood, 1 x iron nugget	1.0x1.0
Mum wreath	NA	Tom Nook after receiving first three housing kits, if flowers on top of the player's island are mums.	720	3 x white mums, 3 x yellow mums, 3 x red mums	1.0x1.0
Mushroom wreath	NA	NA	1500	10 x tree branch, 1 x round mushroom, 1 x skinny mushroom, 1 x flat mushroom	1.0x1.0
Natural mum wreath	NA	NA	4800	10 x green mums	1.0x1.0
Orange wall-mounted clock	NA	Tom Nook (if native fruit is oranges)	2240	10 x orange, 2 x wood	1.0x1.0
Ornament mobile	NA	NA	340	1 x red ornament, 1 x blue ornament, 1 x gold ornament, 4 x tree branch	1.0x1.0
Ornament wreath	NA	NA	800	6 x blue ornament, 2 x gold ornament	1.0x1.0
Pansy wreath	NA	Tom Nook after receiving first three housing kits, if flowers on top of the player's island are pansies	720	3 x yellow pansies, 3 x white pansies, 3 x red pansies	1.0x1.0
Paw-print doorplate	NA	NA	360	3 x wood	1.0x1.0
Potted ivy	NA	A villager after being stung	1100	5 x clump of weeds, 5 x clay	1.0x1.0
Pretty cosmos wreath	NA	NA	1200	3 x orange cosmos, 3 x pink cosmos, 3 x red cosmos	1.0x1.0
Pretty tulip wreath	NA	Island resident	2400	3 x orange tulips, 3 x pink tulips, 3 x purple tulips	1.0x1.0
Purple hyacinth wreath	NA	NA	4800	10 x purple hyacinths	1.0x1.0
Rose wreath	NA	"Island resident
Tom Nook when giving you 3 housing plots"	720	3 x red roses, 3 x white roses, 3 x yellow roses	1.0x1.0
Sagittarius arrow	NA	Celeste	21750	3 x star fragment, 2 x Sagittarius fragment, 2 x gold nugget	1.0x1.0
Shell wreath	NA	NA	4720	1 x summer shell, 1 x sea snail, 1 x sand dollar, 1 x coral, 1 x giant clam	1.0x1.0
Snazzy pansy wreath	NA	Message in a bottle	1200	3 x yellow pansies, 3 x orange pansies, 3 x blue pansies	1.0x1.0
Snowflake wreath	NA	NA	1600	4 x snowflake	1.0x1.0
Star clock	NA	Celeste	2250	3 x star fragment, 1 x iron nugget	1.0x1.0
Starry garland	NA	Celeste	5000	10 x star fragment	2.0x1.0
Timber doorplate	NA	"Balloon
Island resident"	400	2 x wood, 1 x pink roses	1.0x1.0
Tree's bounty mobile	NA	NA	2030	2 x pine cone, 3 x acorn, 3 x tree branch	NA
Tree branch wreath	NA	Island resident	100	10 x tree branch	1.0x1.0
Tulip wreath	NA	NA	720	3 x red tulips, 3 x yellow tulips, 3 x white tulips	1.0x1.0
Windflower wreath	NA	Tom Nook after receiving first three housing kits, if flowers on top of the player's island are windflowers	720	3 x red windflowers, 3 x white windflowers, 3 x orange windflowers	1.0x1.0
Wooden-block wall clock	NA	Message in a bottle	1350	1 x wooden-block toy, 2 x softwood, 1 x iron nugget	1.0x1.0
Wooden-plank sign	NA	Message in a bottle	600	5 x hardwood	2.0x1.0
