recipe_name	image	obtained_from	item_sell_price	recipe_item	materials_needed	size
Capricorn ornament	NA	Celeste	22650	NA	3 x star fragment, 2 x Capricornus fragment, 2 x gold nugget, 12 x stone	2.0x1.0
Cardboard bed	NA	Message in a bottle	240	NA	4 x cardboard box	2.0x1.0
Cardboard chair	NA	NA	60	NA	1 x cardboard box	1.0x1.0
Cardboard sofa	NA	Message in a bottle	120	NA	2 x cardboard box	2.0x1.0
Cardboard table	NA	NA	240	NA	4 x cardboard box	2.0x2.0
Cherry-blossom branches	NA	Balloon	4240	NA	8 x cherry-blossom petal, 4 x tree branch, 5 x clay	1.5x1.5
Cherry-blossom-petal pile	NA	Balloon	2000	NA	5 x cherry-blossom petal	1.0x1.0
Cherry-blossom pond stone	NA	Balloon	2700	NA	10 x stone, 3 x cherry-blossom petal	2.0x1.0
Clackercart	NA	Island resident	960	NA	2 x hardwood, 6 x softwood	1.0x1.0
Clothesline	NA	Tom Nook after receiving first three housing kits	100	NA	10 x tree branch	2.0x0.5
Cosmos shower	NA	NA	3050	NA	5 x pink cosmos, 3 x iron nugget	1.0x1.0
Crescent-moon chair	NA	NA	8500	NA	7 x star fragment, 1 x large star fragment	2.0x1.0
Crewed spaceship	NA	NA	20000	NA	10 x star fragment, 20 x iron nugget	2.0x2.0
Deer scare	NA	Balloon	1740	NA	3 x bamboo piece, 8 x stone, 3 x clump of weeds	1.0x1.0
Destinations signpost	NA	Nook Stop (1,500 Nook Miles)	1440	NA	4 x hardwood, 8 x softwood	1.5x1.5
DIY workbench	NA	Island resident	6630	NA	5 x wood, 5 x hardwood, 5 x softwood, 3 x iron nugget, 1 x mini DIY workbench	2.0x1.0
Doghouse	NA	Island resident	2040	NA	10 x wood, 7 x hardwood	1.0x1.0
Drinking fountain	NA	Nook Stop (800 Nook Miles)	2700	✓	8 x stone, 2 x iron nugget	1.0x1.0
Festive tree	NA	NA	1400	NA	3 x , 3 x , 2 x , 5 x	1.0x1.0
Flat garden rock	NA	Message in a bottle	3000	NA	20 x stone	2.0x1.0
Flower stand	NA	Island resident	2880	NA	1 x red roses, 2 x pink roses, 2 x orange roses, 2 x white lilies, 1 x yellow lilies, 4 x purple windflowers	1.5x1.5
Flying saucer	NA	Celeste	15000	NA	15 x star fragment, 10 x iron nugget	2.0x2.0
Fountain	NA	Nook Stop (3,000 Nook Miles)	11700	NA	1 x drinking fountain, 20 x stone, 8 x iron nugget	3.0x3.0
Frozen arch	NA	NA	9000	NA	1 x large snowflake, 10 x snowflake	NA
Frozen bed	NA	NA	9000	NA	1 x large snowflake, 10 x snowflake	2.0x2.0
Frozen chair	NA	NA	6200	NA	1 x large snowflake, 3 x snowflake	1.0x1.0
Frozen counter	NA	NA	7000	NA	1 x large snowflake, 5 x snowflake	2.0x1.0
Frozen partition	NA	NA	7400	NA	1 x large snowflake, 6 x snowflake	NA
Frozen pillar	NA	NA	6200	NA	1 x large snowflake, 3 x snowflake	1.0x1.0
Frozen sculpture	NA	NA	6600	NA	1 x large snowflake, 4 x snowflake	NA
Frozen table	NA	NA	8200	NA	1 x large snowflake, 8 x snowflake	2.0x2.0
Frozen tree	NA	NA	8200	NA	1 x large snowflake, 8 x snowflake	2.0x2.0
Garden bench	NA	Island resident	4440	NA	12 x wood, 4 x iron nugget	2.0x1.0
Garden rock	NA	Balloon	2250	NA	15 x stone	1.0x1.0
Garden wagon	NA	Message in a bottle	3180	NA	3 x white hyacinths, 3 x red cosmos, 3 x yellow roses, 8 x wood, 2 x iron nugget	2.0x1.0
Gemini closet	NA	Celeste	22000	NA	3 x star fragment, 2 x Gemini fragment, 2 x gold nugget, 6 x stone	1.0x1.0
Giant teddy bear	NA	Island resident	6300	NA	1 x Papa bear, 1 x Mama bear, 1 x Baby bear	3.0x3.0
Golden casket	NA	NA	80000	NA	8 x gold nugget	2.0x1.0
Golden seat	NA	Island resident	50000	NA	5 x gold nugget	2.0x1.0
Golden toilet	NA	NA	60000	NA	6 x gold nugget	1.0x1.0
Gong	NA	Message in a bottle	5100	NA	"6 x iron nugget
, 5 x wood"	2.0x1.0
Grass standee	NA	"Island resident
Message in a bottle"	480	NA	2 x wood, 2 x softwood	1.0x0.5
Green-leaf pile	NA	Balloon	600	NA	1 x young spring bamboo, 10 x clump of weeds	1.5x1.5
Hay bed	NA	DIY for Beginners	400	NA	20 x clump of weeds	2.0x1.0
Hearth	NA	Wildest Dreams DIY	5470	NA	2 x bamboo piece, 5 x iron nugget, 4 x clay, 5 x hardwood	2.0x2.0
Hedge standee	NA	Villager	600	NA	2 x wood, 3 x softwood	1.0x0.5
Illuminated present	NA	NA	2950	NA	3 x red ornament, 4 x gold ornament, 3 x iron nugget	1.0x1.0
Illuminated reindeer	NA	NA	4350	NA	6 x gold ornament, 5 x iron nugget	2.0x1.0
Illuminated snowflakes	NA	NA	3150	NA	9 x blue ornament, 3 x iron nugget	2.0x1.0
Illuminated tree	NA	NA	6700	NA	8 x red ornament, 8 x blue ornament, 6 x gold ornament, 6 x iron nugget	2.0x2.0
Iron closet	NA	NA	9000	NA	12 x iron nugget	1.0x1.0
Iron frame	NA	"Island resident
Message in a bottle"	15000	NA	20 x iron nugget	2.0x1.0
Iron garden bench	NA	Island resident	6000	NA	8 x iron nugget	2.0x1.0
Iron garden chair	NA	"Tom Nook after receiving first three housing kits
Message in a bottle"	2250	NA	3 x iron nugget	1.0x1.0
Iron garden table	NA	Tom Nook after receiving first three housing kits	3750	NA	5 x iron nugget	1.0x1.0
Iron hanger stand	NA	NA	2250	NA	3 x iron nugget	1.0x1.0
Iron worktable	NA	"Island resident
Message in a bottle"	7500	NA	10 x iron nugget	2.0x1.0
Iron shelf	NA	Island resident	10500	NA	14 x iron nugget	2.0x1.0
Ironwood bed	NA	Message in a bottle	9900	NA	20 x wood, 10 x iron nugget	2.0x1.0
Ironwood cart	NA	NA	3720	NA	6 x wood, 4 x iron nugget	1.0x1.0
Ironwood chair	NA	Message in a bottle	1860	NA	3 x wood, 2 x iron nugget	2.0x1.0
Ironwood cupboard	NA	Island resident	9780	NA	12 x wood, 6 x iron nugget, 1 x ironwood dresser	2.0x1.0
Ironwood DIY workbench	NA	Message in a bottle	8520	NA	12 x wood, 6 x iron nugget, 1 x mini DIY workbench	2.0x1.0
Ironwood dresser	NA	NA	3840	✓	7 x wood, 4 x iron nugget	1.0x1.0
Ironwood kitchenette	NA	Wildest Dreams DIY	7560	NA	4 x wood, 3 x iron nugget, 1 x ironwood dresser, 1 x cutting board	2.0x1.0
Ironwood low table	NA	NA	3720	NA	6 x wood, 4 x iron nugget	2.0x1.0
Ironwood table	NA	Message in a bottle	5940	NA	12 x wood, 6 x iron nugget	2.0x2.0
Jail bars	NA	Message in a bottle	3750	NA	5 x iron nugget	2.0x0.5
Juicy-apple TV	NA	"Tom Nook after receiving first three housing kits, if the native fruit is apples
Message in a bottle"	3500	NA	10 x apple, 2 x iron nugget	1.0x1.0
Kettle bathtub	NA	Message in a bottle	6270	NA	8 x iron nugget, 2 x wood, 1 x campfire	1.5x1.5
Large cardboard boxes	NA	NA	300	NA	5 x cardboard box	2.0x2.0
Leaf campfire	NA	Message in a bottle	1330	NA	3 x pine cone, 5 x clump of weeds, 3 x tree branch	NA
Leaf stool	NA	NA	1560	NA	3 x maple leaf, 3 x wood	1.0x1.0
Lily record player	NA	Message in a bottle	3010	NA	5 x white lilies, 3 x iron nugget, 3 x wood	1.0x1.0
Log bed	NA	Island resident	3600	NA	30 x hardwood	2.0x2.0
Log bench	NA	Tom Nook after receiving first three housing kits	600	✓	5 x hardwood	2.0x1.0
Log decorative shelves	NA	Message in a bottle	1560	NA	2 x log bench, 3 x hardwood	2.0x1.0
Log dining table	NA	Tom Nook after receiving first three housing kits	1800	NA	15 x hardwood	2.0x2.0
Log extra-long sofa	NA	Island Resident	1920	NA	2 x log chair	2.0x1.0
Log garden lounge	NA	Tom Nook after receiving first three housing kits	1440	NA	12 x hardwood	2.0x1.0
Log round table	NA	Message in a bottle	1800	NA	15 x hardwood	2.0x2.0
Log chair	NA	Island resident	960	NA	8 x hardwood	1.0x1.0
Log stakes	NA	Unlocked when Tom Nook gives you your first recipes (resident representative only)	360	NA	3 x wood	1.0x1.0
Log stool	NA	"Island resident
Message in a bottle"	480	NA	4 x hardwood	1.0x1.0
Lunar lander	NA	Celeste	16250	NA	10 x star fragment, 15 x iron nugget	2.0x2.0
Lunar rover	NA	NA	12580	NA	10 x star fragment, 10 x iron nugget, 4 x old tire	2.0x2.0
Manhole cover	NA	Nook Stop (800 Nook Miles)	2250	NA	3 x iron nugget	1.0x1.0
Maple-leaf pond stone	NA	NA	2700	NA	10 x stone, 3 x maple leaf	2.0x1.0
Medium cardboard boxes	NA	NA	240	NA	4 x cardboard box	2.0x1.0
Mini DIY workbench	NA	Test Your DIY Skills	2580	✓	3 x wood, 3 x hardwood, 3 x softwood, 2 x iron nugget	1.0x1.0
Moon	NA	Celeste	12500	NA	15 x star fragment, 1 x large star fragment	2.0x2.0
Mossy garden rock	NA	Message in a bottle	2550	NA	15 x stone, 15 x clump of weeds	1.0x1.0
Mountain standee	NA	Message in a bottle	1080	NA	4 x wood, 5 x softwood	2.0x1.0
Mum cushion	NA	Message in a bottle	440	NA	8 x yellow mums, 10 x clump of weeds	1.0x1.0
Mush lamp	NA	NA	1600	NA	1 x skinny mushroom, 5 x clay	1.0x1.0
Mush log	NA	NA	1680	NA	2 x skinny mushroom, 1 x log stool	1.0x1.0
Mush low stool	NA	NA	800	NA	2 x round mushroom	1.0x1.0
Mush parasol	NA	NA	1200	NA	3 x flat mushroom	2.0x2.0
Mush partition	NA	NA	1800	NA	3 x skinny mushroom	2.0x1.0
Mush table	NA	NA	1520	NA	2 x flat mushroom, 6 x wood	2.0x2.0
Music stand	NA	"Island resident
Message in a bottle"	960	NA	8 x hardwood	1.0x1.0
Natural garden chair	NA	"Message in a bottle
Tom Nook after receiving first three housing kits"	2220	NA	6 x hardwood, 2 x iron nugget	1.0x1.0
Natural garden table	NA	"Tom Nook after receiving first three housing kits
Island resident"	3330	NA	9 x hardwood, 3 x iron nugget	2.0x2.0
Natural square table	NA	Island resident	1980	NA	4 x hardwood, 2 x iron nugget	1.0x1.0
Oil-barrel bathtub	NA	Balloon	655	NA	1 x oil barrel, 1 x campfire, 2 x stone	1.0x1.0
Orange end table	NA	"Message in a bottle
Tom Nook after receiving first three housing kits, if the native fruit is oranges"	2480	NA	10 x orange, 4 x wood	1.0x1.0
Outdoor bath	NA	Nook Stop (3,000 Nook Miles)	4350	NA	20 x stone, 1 x shovel	3.0x3.0
Outdoor picnic set	NA	"Isabelle during morning announcement while talking about cherry blossom season
Balloon"	4000	NA	10 x cherry-blossom petal	1.5x1.5
Palm-tree lamp	NA	Message in a bottle	3280	NA	4 x coconut, 4 x wood, 4 x clay	1.0x1.0
Pansy table	NA	Message in a bottle	760	NA	5 x yellow pansies, 3 x hardwood	1.0x1.0
Peach chair	NA	Tom Nook after receiving first three housing kits, if the native fruit is peaches	2600	NA	10 x peach, 5 x wood	1.0x1.0
Pear bed	NA	Tom Nook after receiving first three housing kits, if the native fruit is pears	2720	NA	10 x pear, 6 x softwood	2.0x1.0
Pear wardrobe	NA	"Tom Nook after receiving first three housing kits, if the native fruit is pears
Island resident"	2600	NA	10 x pear, 5 x wood	1.0x1.0
Pile of leaves	NA	NA	1300	NA	3 x pine cone, 5 x clump of weeds	NA
Pile of zen cushions	NA	Island resident	750	NA	3 x zen cushion	1.0x1.0
Pisces lamp	NA	Celeste	22050	NA	3 x star fragment, 2 x Pisces fragment, 2 x gold nugget, 4 x stone	1.0x1.0
Plain sink	NA	Wildest Dreams DIY	2270	NA	6 x wood, 4 x clay, 1 x iron nugget	1.0x1.0
Plain wooden shop sign	NA	Island resident	720	NA	6 x wood	1.0x1.0
Pond stone	NA	Message in a bottle	1500	NA	10 x stone	2.0x1.0
Raccoon figurine	NA	Message in a bottle	1200	NA	6 x clay	1.0x1.0
Red-leaf pile	NA	Isabelle during morning announcement while talking about fall season	1280	NA	3 x maple leaf, 4 x clump of weeds	NA
Robot hero	NA	Nook Stop (5,000 Nook Miles)	250000	NA	1 x rocket, 1 x gold armor, 30 x rusted part, 90 x iron nugget, 10 x gold nugget	3.0x3.0
Rocket	NA	Celeste wandering island	20000	NA	10 x star fragment, 20 x iron nugget	2.0x1.0
Rocking chair	NA	Test Your DIY Skills	960	NA	3 x wood, 5 x softwood	1.0x1.0
Rocking horse	NA	Island resident	600	NA	5 x softwood	1.0x1.0
Rose bed	NA	Message in a bottle	1400	NA	10 x red roses, 5 x wood	2.0x2.0
Satellite	NA	Celeste wandering island	16250	NA	10 x star fragment, 15 x iron nugget	2.0x1.0
Sauna heater	NA	Message in a bottle	3510	NA	6 x stone, 3 x iron nugget, 3 x wood	1.0x1.0
Scarecrow	NA	NA	130	NA	5 x tree branch, 5 x clump of weeds	1.0x1.0
Scattered papers	NA	Island resident	400	NA	1 x document stack	1.5x1.5
Scorpio lamp	NA	Celeste	22125	NA	3 x star fragment, 2 x Scorpius fragment, 2 x gold nugget, 5 x stone	1.0x1.0
Shell arch	NA	Message in a bottle	12360	NA	3 x sea snail, 3 x venus comb, 3 x sand dollar, 3 x coral, 3 x giant clam, 3 x cowrie	3.0x1.0
Shell bed	NA	"Island resident
Message in a bottle"	10200	NA	5 x giant clam, 3 x clay, 4 x stone	1.5x1.5
Shell fountain	NA	Message in a bottle	9450	NA	5 x giant clam, 3 x stone	1.5x1.5
Shell partition	NA	Island resident	8000	NA	4 x venus comb, 4 x conch	2.0x1.0
Shell stool	NA	Message in a bottle	600	NA	5 x cowrie	1.0x1.0
Shell table	NA	Island resident	2280	NA	7 x sand dollar, 3 x clay	2.0x2.0
Signpost	NA	NA	600	NA	2 x hardwood, 3 x softwood	1.0x1.0
Silo	NA	Nook Stop(3,000 Nook Miles)	13920	NA	12 x iron nugget, 6 x hardwood, 12 x clay, 12 x stone	2.0x2.0
Simple DIY workbench	NA	"Mail from Nintendo after the first night on the island
Message in a bottle"	1350	NA	5 x hardwood, 1 x iron nugget	1.5x1.5
Simple well	NA	Nook Stop (2,000 Nook Miles)	2850	NA	15 x stone, 1 x flimsy shovel	2.0x2.0
Sleigh	NA	Message in a bottle	960	NA	8 x wood	2.0x1.0
Small cardboard boxes	NA	Message in a bottleVillager	120	NA	2 x cardboard box	1.0x1.0
Space shuttle	NA	NA	10000	NA	5 x star fragment, 10 x iron nugget	2.0x1.0
Stall	NA	Nook Stop (2,000 Nook Miles)	1440	NA	12 x wood	2.0x1.0
Standard umbrella stand	NA	Message in a bottle	2250	NA	3 x iron nugget	1.0x1.0
Stone arch	NA	Nook Stop (2,000 Nook Miles)	13500	NA	90 x stone	3.0x1.0
Stone lion-dog	NA	NA	3600	NA	24 x stone	1.0x1.0
Stone stool	NA	Unlocked when Tom Nook gives you your first recipes	450	NA	3 x stone	1.0x1.0
Stone table	NA	"Island resident
Message in a bottleTom Nook after receiving first three housing kits"	1200	NA	8 x stone	2.0x2.0
Stone tablet	NA	Nook Stop (800 Nook Miles)	1800	NA	12 x stone	1.0x1.0
Street piano	NA	Island resident	26755	NA	1 x upright piano, 1 x painting set	2.0x1.0
Swinging bench	NA	Test Your DIY Skills	1440	NA	5 x wood, 7 x softwood	2.0x1.0
Tall garden rock	NA	Balloon	9000	NA	60 x stone	1.0x1.0
Tall lantern	NA	NA	2700	NA	18 x stone	1.0x1.0
Taurus bathtub	NA	Celeste	12350	NA	3 x star fragment, 2 x Taurus fragment, 1 x gold nugget, 8 x stone	2.0x1.0
Tea table	NA	Message in a bottle	1440	NA	12 x hardwood	2.0x2.0
Three-tiered snowperson	NA	NA	7420	NA	1 x large snowflake, 6 x snowflake, 2 x tree branch	1.0x1.0
Tiki torch	NA	Tom Nook	650	NA	5 x tree branch, 5 x wood	1.0x1.0
Tiny library	NA	Island resident	1035	NA	"3 x book
, 5 x wood"	1.0x1.0
Tire stack	NA	Fishing up an old tire	60	NA	3 x old tire	1.0x1.0
Tire toy	NA	Fishing up an old tire	20	NA	1 x old tire	1.0x1.0
Tree standee	NA	BalloonIsland resident	1560	NA	5 x wood, 8 x softwood	2.0x1.0
Tree's bounty arch	NA	NA	5750	NA	4 x pine cone, 5 x acorn, 5 x maple leaf, 15 x tree branch	NA
Tree's bounty big tree	NA	NA	6080	NA	5 x pine cone, 4 x acorn, 4 x maple leaf, 8 x tree branch, 4 x clay	1.0x1.0
Tree's bounty little tree	NA	Isabelle	4120	NA	6 x pine cone, 4 x acorn, 1 x hardwood	1.0x1.0
Trophy case	NA	NA	33690	NA	24 x hardwood, 3 x gold nugget, 6 x iron nugget	2.0x1.0
Virgo harp	NA	Celeste	22050	NA	3 x star fragment, 2 x Virgo fragment, 2 x gold nugget, 4 x stone	1.0x1.0
Water pump	NA	Tom Nook after receiving first three housing kitsMessage in a bottle	2700	NA	2 x iron nugget, 6 x clay	1.0x1.0
Wave breaker	NA	Nook Stop (2,000 Nook Miles)	3500	NA	10 x stone, 10 x clay	2.0x2.0
Western-style stone	NA	NA	4500	NA	30 x stone	2.0x1.0
Wild log bench	NA	"Wildest Dreams DIY from Nook's Cranny
Message in a bottle"	960	NA	8 x hardwood	2.0x1.0
Wooden-block bed	NA	Island resident	2400	NA	1 x wooden-block toy, 17 x softwood	2.0x1.0
Wooden-block bench	NA	Island resident	840	NA	1 x wooden-block toy, 4 x softwood	2.0x1.0
Wooden-block bookshelf	NA	Test Your DIY Skills	720	NA	1 x wooden-block toy, 3 x softwood	1.0x1.0
Wooden-block chair	NA	"Tom Nook after receiving first three housing kits
Test Your DIY Skills"	720	NA	1 x wooden-block toy, 3 x softwood	1.0x1.0
Wooden-block chest	NA	Island resident	1800	NA	1 x wooden-block toy, 12 x softwood	2.0x1.0
Wooden-block stereo	NA	Tom Nook after receiving first three housing kits	2460	NA	1 x wooden-block toy, 5 x softwood, 2 x iron nugget	2.0x1.0
Wooden-block stool	NA	Island residentMessage in a bottle	600	NA	1 x wooden-block toy, 2 x softwood	1.0x1.0
Wooden-block table	NA	Tom Nook after receiving first three housing kits	1320	NA	1 x wooden-block toy, 8 x softwood	2.0x2.0
Wooden bookshelf	NA	Island resident	1925	NA	5 x book, 10 x wood	2.0x1.0
Wooden bucket	NA	"Island resident
Tom Nook after receiving first three housing kits"	1110	NA	3 x wood, 1 x iron nugget	1.0x1.0
Wooden chair	NA	"Message in a bottle
Tom Nook after receiving first three housing kits"	720	NA	6 x wood	1.0x1.0
Wooden chest	NA	"Island resident
Message in a bottle"	1920	NA	16 x wood	2.0x1.0
Wooden double bed	NA	Letter from harvey	3600	NA	30 x wood	2.0x2.0
Wooden end table	NA	Island residentLetter from mom Message in a bottle	960	NA	8 x wood	1.0x1.0
Wooden full-length mirror	NA	Message in a bottle	1350	NA	5 x wood, 1 x iron nugget	1.0x1.0
Wooden low table	NA	NA	1200	NA	10 x wood	2.0x1.0
Wooden mini table	NA	NA	720	NA	6 x wood	1.0x1.0
Wooden simple bed	NA	"Message in a bottle
Tom Nook after receiving first three housing kits"	2160	NA	18 x wood	2.0x1.0
Wooden stool	NA	Message in a bottle	480	NA	4 x wood	1.0x1.0
Wooden table	NA	NA	1800	NA	15 x wood	2.0x2.0
Wooden wardrobe	NA	Tom Nook (Customization Workshop)	1440	NA	12 x wood	1.0x1.0
Wooden waste bin	NA	Message in a bottle	480	NA	4 x wood	1.0x1.0
Yellow-leaf pile	NA	NA	1300	NA	3 x acorn, 5 x clump of weeds	NA
Zen-style stone	NA	NA	4500	NA	30 x stone	1.0x1.0
