recipe_name	image	size	obtained_from	item_sell_price	materials_needed
Honeycomb flooring	NA	NA	Island resident	3000	5 x wasp nest
Honeycomb wall	NA	NA	Island resident	3600	6 x wasp nest
Ice flooring	NA	NA	NA	8200	1 x large snowflake, 8 x snowflake
Ice wall	NA	NA	NA	8200	1 x large snowflake, 8 x snowflake
Iceberg flooring	NA	NA	NA	4000	10 x snowflake
Iceberg wall	NA	NA	NA	4000	10 x snowflake
Jingle wall	NA	NA	NA	2500	5 x red ornament, 5 x blue ornament, 5 x gold ornament, 5 x clay
Jungle flooring	NA	NA	Balloon	2200	10 x clump of weeds, 10 x clay
Jungle wall	NA	NA	Balloon	1380	15 x clump of weeds, 3 x wood, 3 x hardwood, 3 x softwood
Light bamboo rug	NA	https://vignette.wikia.nocookie.net/animalcrossing/images/9/99/NH3.0x2.0sq.jpg/revision/latest?cb=20200416062231	Balloon	2400	6 x young spring bamboo
Lunar surface	NA	NA	Celeste	7500	5 x star fragment, 1 x large star fragment
Manga-library wall	NA	NA	Message in a bottle	1050	10 x magazine
Modern wood wall	NA	NA	NA	1800	5 x wood, 5 x softwood, 5 x hardwood
Money flooring	NA	NA	NA	25000	1 x bag of 50,000 bells, 50 x bag of 50,000 bells, 000 x bag of 50,000 bells
Mush wall	NA	NA	NA	21400	1 x elegant mushroom, 1 x round mushroom, 1 x skinny mushroom, 1 x flat mushroom
Orange rug	NA	NA	NA	1200	6 x orange
Orange wall	NA	NA	Message in a bottle	4000	20 x orange
Peach rug	NA	NA	NA	1200	6 x peach
Peach wall	NA	NA	Island resident	4000	20 x peach
Pear rug	NA	NA	NA	1200	6 x pear
Pear wall	NA	NA	Island resident	4000	20 x pear
Rustic-stone wall	NA	NA	NA	1750	5 x stone, 5 x clay
Sakura-wood flooring	NA	NA	Balloon	3200	5 x cherry-blossom petal, 10 x wood
Sakura-wood wall	NA	NA	Balloon	3200	5 x cherry-blossom petal, 10 x wood
Sandy-beach flooring	NA	NA	Island resident	4120	1 x sea snail, 1 x venus comb, 1 x sand dollar, 1 x coral, 1 x giant clam, 1 x cowrie
Sci-fi flooring	NA	NA	NA	7500	5 x star fragment, 1 x large star fragment
Sci-fi wall	NA	NA	"Balloon
Celeste"	7500	5 x star fragment, 1 x large star fragment
Shell rug	NA	NA	NA	5400	3 x giant clam
Ski-slope flooring	NA	NA	NA	3200	8 x
Ski-slope wall	NA	NA	NA	3200	8 x
Snowflake wall	NA	NA	NA	4800	12 x
Stacked-wood wall	NA	NA	NA	1800	15 x hardwood
Starry wall	NA	NA	Celeste	7500	5 x star fragment, 1 x large star fragment
Starry-sands flooring	NA	NA	Message in a bottle	7720	3 x summer shell, 1 x sandy-beach flooring
Starry-sky wall	NA	NA	NA	7500	5 x , 1 x
Steel flooring	NA	NA	Message in a bottle	5250	7 x iron nugget
Steel-frame wall	NA	NA	Message in a bottle	6000	8 x iron nugget
Stone wall	NA	NA	Island resident	1500	10 x stone
Tropical Vista	NA	NA	Message in a bottle	6000	5 x summer shell
Underwater flooring	NA	NA	Message in a bottle	6600	3 x summer shell, 3 x coral
Underwater wall	NA	NA	Message in a bottle	8600	3 x summer shell, 5 x coral
Water flooring	NA	NA	Balloon	7200	6 x summer shell
Wild-wood wall	NA	NA	NA	1800	15 x wood
Wooden-knot wall	NA	NA	Message in a bottle	1800	15 x hardwood
Wooden-mosaic wall	NA	NA	Island resident	1800	15 x wood
Woodland wall	NA	NA	Island Resident	1380	15 x clump of weeds, 9 x softwood
