recipe_name	image	materials_needed	size	obtained_from	sell_price	materials_needed_clean	size_clean
Bamboo noodle slide	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/ed/NH-Bamboo_noodle_slide.png/revision/latest/scale-to-width-down/50?cb=20200326191201"" 	 alt=""NH-Bamboo noodle slide""  	class="""" 	 	data-image-key=""NH-Bamboo_noodle_slide.png"" 	data-image-name=""NH-Bamboo noodle slide.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"7x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/NH-young_spring_bamboo-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200219"" 	 alt=""NH-young spring bamboo-icon""  	class="""" 	 	data-image-key=""NH-young_spring_bamboo-icon.png"" 	data-image-name=""NH-young spring bamboo-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>young spring bamboo
3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d4/NH3.0x1.0sq.jpg/revision/latest?cb=20200324214535"" 	 alt=""NH3.0x1.0sq""  	class="""" 	 	data-image-key=""NH3.0x1.0sq.jpg"" 	data-image-name=""NH3.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Balloon	3,160 Bells	7x young spring bamboo, 3x wood	3.0x1.0
Bamboo partition	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-Bamboo_partition.png/revision/latest/scale-to-width-down/50?cb=20200327115702"" 	 alt=""NH-Bamboo partition""  	class="""" 	 	data-image-key=""NH-Bamboo_partition.png"" 	data-image-name=""NH-Bamboo partition.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Bamboo shelf	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/14/NH-Bamboo_shelf.png/revision/latest/scale-to-width-down/50?cb=20200328071233"" 	 alt=""NH-Bamboo shelf""  	class="""" 	 	data-image-key=""NH-Bamboo_shelf.png"" 	data-image-name=""NH-Bamboo shelf.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"15x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ae/NH-bamboo_piece-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211324"" 	 alt=""NH-bamboo piece-icon""  	class="""" 	 	data-image-key=""NH-bamboo_piece-icon.png"" 	data-image-name=""NH-bamboo piece-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>bamboo piece"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841"" 	 alt=""NH2.0x1.0sq""  	class=""thumbimage "" 	 	data-image-key=""NH2.0x1.0sq.jpg"" 	data-image-name=""NH2.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Message in a bottle	2,400 Bells	15x bamboo piece	2.0x1.0
Bamboo speaker	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fb/NH-Bamboo_speaker.png/revision/latest/scale-to-width-down/50?cb=20200328055254"" 	 alt=""NH-Bamboo speaker""  	class="""" 	 	data-image-key=""NH-Bamboo_speaker.png"" 	data-image-name=""NH-Bamboo speaker.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Bamboo stool	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a9/NH-Bamboo_stool.png/revision/latest/scale-to-width-down/50?cb=20200327210219"" 	 alt=""NH-Bamboo stool""  	class="""" 	 	data-image-key=""NH-Bamboo_stool.png"" 	data-image-name=""NH-Bamboo stool.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ae/NH-bamboo_piece-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211324"" 	 alt=""NH-bamboo piece-icon""  	class="""" 	 	data-image-key=""NH-bamboo_piece-icon.png"" 	data-image-name=""NH-bamboo piece-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>bamboo piece"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class=""thumbimage "" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Message in a bottle	800 Bells	5x bamboo piece	1.0x1.0
Bamboo stopblock	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/57/NH-Bamboo_stopblock.png/revision/latest/scale-to-width-down/50?cb=20200326205453"" 	 alt=""NH-Bamboo stopblock""  	class="""" 	 	data-image-key=""NH-Bamboo_stopblock.png"" 	data-image-name=""NH-Bamboo stopblock.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ae/NH-bamboo_piece-icon.png/revision/latest/scale-to-width-down/18?cb=20200328211324"" 	 alt=""NH-bamboo piece-icon""  	class="""" 	 	data-image-key=""NH-bamboo_piece-icon.png"" 	data-image-name=""NH-bamboo piece-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>bamboo piece"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/70/NH1.0x0.5sq.jpg/revision/latest?cb=20200327084231"" 	 alt=""NH1.0x0.5sq""  	class="""" 	 	data-image-key=""NH1.0x0.5sq.jpg"" 	data-image-name=""NH1.0x0.5sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Island resident	NA	3x bamboo piece	1.0x0.5
Barbell	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/71/NH-Barbell.png/revision/latest/scale-to-width-down/50?cb=20200326033047"" 	 alt=""NH-Barbell""  	class="""" 	 	data-image-key=""NH-Barbell.png"" 	data-image-name=""NH-Barbell.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841"" 	 alt=""NH2.0x1.0sq""  	class="""" 	 	data-image-key=""NH2.0x1.0sq.jpg"" 	data-image-name=""NH2.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	"Island resident
Message in a bottle"	7,500 Bells	10x iron nugget	2.0x1.0
Barrel	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/65/NH-Barrel.png/revision/latest/scale-to-width-down/50?cb=20200325181515"" 	 alt=""NH-Barrel""  	class="""" 	 	data-image-key=""NH-Barrel.png"" 	data-image-name=""NH-Barrel.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood
2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Tom Nook	2,100 Bells	5x wood, 2x iron nugget	1.0x1.0
Beekeeper’s hive	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/80/NH-Beekeeper%27s_hive.png/revision/latest/scale-to-width-down/50?cb=20200326033146"" 	 alt=""NH-Beekeeper&amp;#039;s hive""  	class="""" 	 	data-image-key=""NH-Beekeeper%27s_hive.png"" 	data-image-name=""NH-Beekeeper&#39;s hive.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c0/NH-wasp_nest-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195950"" 	 alt=""NH-wasp nest-icon""  	class="""" 	 	data-image-key=""NH-wasp_nest-icon.png"" 	data-image-name=""NH-wasp nest-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wasp nest
5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Island resident	NA	3x wasp nest, 5x wood	1.0x1.0
Big festive tree	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/07/NH-Big_festive_tree.png/revision/latest/scale-to-width-down/50?cb=20200329085255"" 	 alt=""NH-Big festive tree""  	class="""" 	 	data-image-key=""NH-Big_festive_tree.png"" 	data-image-name=""NH-Big festive tree.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Birdbath	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/8c/NH-Birdbath.png/revision/latest/scale-to-width-down/50?cb=20200325181535"" 	 alt=""NH-Birdbath""  	class="""" 	 	data-image-key=""NH-Birdbath.png"" 	data-image-name=""NH-Birdbath.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/NH-stone-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195755"" 	 alt=""NH-stone-icon""  	class="""" 	 	data-image-key=""NH-stone-icon.png"" 	data-image-name=""NH-stone-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>stone"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	NA	400 Bells	6x stone	1.0x1.0
Bird cage	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fe/NH-Bird_cage.png/revision/latest/scale-to-width-down/50?cb=20200328211656"" 	 alt=""NH-Bird cage""  	class="""" 	 	data-image-key=""NH-Bird_cage.png"" 	data-image-name=""NH-Bird cage.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	NA	NA	NA	NA	NA	NA
Birdhouse	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/98/NH-Birdhouse.png/revision/latest/scale-to-width-down/50?cb=20200325181541"" 	 alt=""NH-Birdhouse""  	class="""" 	 	data-image-key=""NH-Birdhouse.png"" 	data-image-name=""NH-Birdhouse.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"2x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood
5x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-softwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195710"" 	 alt=""NH-softwood-icon""  	class="""" 	 	data-image-key=""NH-softwood-icon.png"" 	data-image-name=""NH-softwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>softwood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	NA	840 Bells	2x wood, 5x softwood	1.0x1.0
Bonfire	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/51/NH-Bonfire.png/revision/latest/scale-to-width-down/50?cb=20200325181547"" 	 alt=""NH-Bonfire""  	class="""" 	 	data-image-key=""NH-Bonfire.png"" 	data-image-name=""NH-Bonfire.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"1x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/NH-furniture-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195013"" 	 alt=""NH-furniture-icon""  	class="""" 	 	data-image-key=""NH-furniture-icon.png"" 	data-image-name=""NH-furniture-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>campfire
10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/NH2.0x2.0sq.jpg/revision/latest?cb=20200324214617"" 	 alt=""NH2.0x2.0sq""  	class="""" 	 	data-image-key=""NH2.0x2.0sq.jpg"" 	data-image-name=""NH2.0x2.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Tom Nook	1,230 Bells	1x campfire, 10x wood	2.0x2.0
