recipe_name	image	materials_needed	size	obtained_from	sell_price	materials_needed_clean	size_clean
Iron fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/74/NH-Iron_fence.png/revision/latest/scale-to-width-down/50?cb=20200325181858"" 	 alt=""NH-Iron fence""  	class="""" 	 	data-image-key=""NH-Iron_fence.png"" 	data-image-name=""NH-Iron fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	450 Bells (each)	6x iron nugget	1.0x1.0
Iron-and-stone fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/75/NH-Iron-and-stone_fence.png/revision/latest/scale-to-width-down/50?cb=20200326071024"" 	 alt=""NH-Iron-and-stone fence""  	class="""" 	 	data-image-key=""NH-Iron-and-stone_fence.png"" 	data-image-name=""NH-Iron-and-stone fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/NH-stone-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195755"" 	 alt=""NH-stone-icon""  	class="""" 	 	data-image-key=""NH-stone-icon.png"" 	data-image-name=""NH-stone-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>stone
3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	315 Bells (each)	6x stone, 3x iron nugget	1.0x1.0
Lattice fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e4/NH-Lattice_fence.png/revision/latest/scale-to-width-down/50?cb=20200325181924"" 	 alt=""NH-Lattice fence""  	class="""" 	 	data-image-key=""NH-Lattice_fence.png"" 	data-image-name=""NH-Lattice fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"8x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-softwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195710"" 	 alt=""NH-softwood-icon""  	class="""" 	 	data-image-key=""NH-softwood-icon.png"" 	data-image-name=""NH-softwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>softwood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	96 Bells (each)	8x softwood	1.0x1.0
Rope Fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/27/NH-Rope_fence.png/revision/latest/scale-to-width-down/50?cb=20200326070837"" 	 alt=""NH-Rope fence""  	class="""" 	 	data-image-key=""NH-Rope_fence.png"" 	data-image-name=""NH-Rope fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"4x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	300 Bells (each)	4x iron nugget	1.0x1.0
Simple wooden fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/10/NH-Simple_wooden_fence.png/revision/latest/scale-to-width-down/50?cb=20200326044227"" 	 alt=""NH-Simple wooden fence""  	class="""" 	 	data-image-key=""NH-Simple_wooden_fence.png"" 	data-image-name=""NH-Simple wooden fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"6x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-softwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195710"" 	 alt=""NH-softwood-icon""  	class="""" 	 	data-image-key=""NH-softwood-icon.png"" 	data-image-name=""NH-softwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>softwood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	72 Bells (each)	6x softwood	1.0x1.0
Spiky fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/ed/NH-Spiky_fence.png/revision/latest/scale-to-width-down/50?cb=20200326071058"" 	 alt=""NH-Spiky fence""  	class="""" 	 	data-image-key=""NH-Spiky_fence.png"" 	data-image-name=""NH-Spiky fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"8x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-hardwood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195048"" 	 alt=""NH-hardwood-icon""  	class="""" 	 	data-image-key=""NH-hardwood-icon.png"" 	data-image-name=""NH-hardwood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>hardwood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	96 Bells (each)	8x hardwood	1.0x1.0
Stone fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/3c/NH-Stone_fence.png/revision/latest/scale-to-width-down/50?cb=20200325182316"" 	 alt=""NH-Stone fence""  	class="""" 	 	data-image-key=""NH-Stone_fence.png"" 	data-image-name=""NH-Stone fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"4x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/NH-stone-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195755"" 	 alt=""NH-stone-icon""  	class="""" 	 	data-image-key=""NH-stone-icon.png"" 	data-image-name=""NH-stone-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>stone"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	60 Bells (each)	4x stone	1.0x1.0
Straw fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b1/NH-Straw_fence.png/revision/latest/scale-to-width-down/50?cb=20200326070927"" 	 alt=""NH-Straw fence""  	class="""" 	 	data-image-key=""NH-Straw_fence.png"" 	data-image-name=""NH-Straw fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"10x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-clump_of_weeds-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193954"" 	 alt=""NH-clump of weeds-icon""  	class="""" 	 	data-image-key=""NH-clump_of_weeds-icon.png"" 	data-image-name=""NH-clump of weeds-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clump of weeds
3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	56 Bells (each)	10x clump of weeds, 3x wood	1.0x1.0
Vertical-board fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/77/NH-Vertical-board_fence.png/revision/latest/scale-to-width-down/50?cb=20200326044242"" 	 alt=""NH-Vertical-board fence""  	class="""" 	 	data-image-key=""NH-Vertical-board_fence.png"" 	data-image-name=""NH-Vertical-board fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"8x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-wood-icon.png/revision/latest/scale-to-width-down/18?cb=20200328200105"" 	 alt=""NH-wood-icon""  	class="""" 	 	data-image-key=""NH-wood-icon.png"" 	data-image-name=""NH-wood-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>wood"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	96 Bells (each)	8x wood	1.0x1.0
Zen fence x10	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e4/NH-Zen_fence.png/revision/latest/scale-to-width-down/50?cb=20200325182524"" 	 alt=""NH-Zen fence""  	class="""" 	 	data-image-key=""NH-Zen_fence.png"" 	data-image-name=""NH-Zen fence.png"" 	 	 width=""50""  	 height=""50""  	 	 	 	>"	"3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-iron_nugget-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195115"" 	 alt=""NH-iron nugget-icon""  	class="""" 	 	data-image-key=""NH-iron_nugget-icon.png"" 	data-image-name=""NH-iron nugget-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>iron nugget
3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/NH-clay-icon.png/revision/latest/scale-to-width-down/18?cb=20200328193929"" 	 alt=""NH-clay-icon""  	class="""" 	 	data-image-key=""NH-clay-icon.png"" 	data-image-name=""NH-clay-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>clay
3x <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/NH-stone-icon.png/revision/latest/scale-to-width-down/18?cb=20200328195755"" 	 alt=""NH-stone-icon""  	class="""" 	 	data-image-key=""NH-stone-icon.png"" 	data-image-name=""NH-stone-icon.png"" 	 	 width=""18""  	 height=""18""  	 	 	 	>stone"	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412"" 	 alt=""NH1.0x1.0sq""  	class="""" 	 	data-image-key=""NH1.0x1.0sq.jpg"" 	data-image-name=""NH1.0x1.0sq.jpg"" 	 	 width=""31""  	 height=""31""  	 	 	 	>"	Nook Stop (1,000 Nook Miles)	330 Bells (each)	3x iron nugget, 3x clay, 3x stone	1.0x1.0
