Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price
Forest wall	https://vignette.wikia.nocookie.net/animalcrossing/images/0/06/NH-Forest_wall.png/revision/latest?cb=20200409050222	2x elegant mushroom2x round mushroom2x skinny mushroom2x flat mushroom10x wood	NA		44,000
Galaxy flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/c/ca/NH-Galaxy_flooring.png/revision/latest?cb=20200409050226	5x star fragment1x large star fragment	NA	Celeste	7,500
Garbage-heap flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/2/28/NH-Garbage-heap_flooring.png/revision/latest?cb=20200325181813	2x empty can2x boot2x old tire	NA	Fishing up trash	120
Garbage-heap wall	https://vignette.wikia.nocookie.net/animalcrossing/images/7/71/NH-Garbage-heap_wall.png/revision/latest?cb=20200325181819	2x empty can2x boot2x old tire	NA	Fishing up trash	120
Golden flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/1/15/NH-Golden_flooring.png/revision/latest?cb=20200409050231	4x gold nugget	NA	Balloon	40,000
Golden wall	https://vignette.wikia.nocookie.net/animalcrossing/images/8/8a/NH-Golden_wall.png/revision/latest?cb=20200409050236	4x gold nugget	NA	Island resident	40,000
Gold-screen wall	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c1/NH-Gold-screen_wall.png/revision/latest?cb=20200409050241	2x gold nugget1x screen wall	NA		20,750
Honeycomb flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/9/97/NH-Honeycomb_flooring.png/revision/latest?cb=20200329070314	5x wasp nest	NA	Island resident	3,000
Honeycomb wall	https://vignette.wikia.nocookie.net/animalcrossing/images/4/49/NH-Honeycomb_wall.png/revision/latest?cb=20200325181847	6x wasp nest	NA	Island resident	3,600
Ice flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/2/25/NH-Ice_flooring.png/revision/latest?cb=20200409050247	1x large snowflake8x snowflake	NA		8,200
Ice wall	https://vignette.wikia.nocookie.net/animalcrossing/images/4/46/NH-Ice_wall.png/revision/latest?cb=20200409050252	1x large snowflake8x snowflake	NA		8,200
Iceberg flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7c/NH-Iceberg_flooring.png/revision/latest?cb=20200409050256	10x snowflake	NA		4,000
Iceberg wall	https://vignette.wikia.nocookie.net/animalcrossing/images/5/5a/NH-Iceberg_wall.png/revision/latest?cb=20200409050301	10x snowflake	NA		4,000
Jingle wall	https://vignette.wikia.nocookie.net/animalcrossing/images/a/ab/NH-Jingle_wall.png/revision/latest?cb=20200409050305	5x red ornament5x blue ornament5x gold ornament5x clay	NA		2,500
Jungle flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/NH-Jungle_flooring.png/revision/latest?cb=20200409050310	10x clump of weeds10x clay	NA	Balloon	2,200
Jungle wall	https://vignette.wikia.nocookie.net/animalcrossing/images/6/63/NH-Jungle_wall.png/revision/latest?cb=20200331025325	15x clump of weeds3x wood3x hardwood3x softwood	NA	Balloon	1,380
Light bamboo rug	https://vignette.wikia.nocookie.net/animalcrossing/images/e/ea/NH-Light_bamboo_rug.png/revision/latest?cb=20200328032942	6x young spring bamboo	https://vignette.wikia.nocookie.net/animalcrossing/images/9/99/NH3.0x2.0sq.jpg/revision/latest?cb=20200416062231	Balloon	2,400
Lunar surface	https://vignette.wikia.nocookie.net/animalcrossing/images/0/0b/NH-Lunar_surface.png/revision/latest?cb=20200409050314	5x star fragment1x large star fragment	NA	Celeste	7,500
Manga-library wall	https://vignette.wikia.nocookie.net/animalcrossing/images/e/ef/NH-Manga-library_wall.png/revision/latest?cb=20200331025249	10x magazine	NA	Message in a bottle	1,050
Modern wood wall	https://vignette.wikia.nocookie.net/animalcrossing/images/f/f9/NH-Modern_wood_wall.png/revision/latest?cb=20200409050320	5x wood5x softwood5x hardwood	NA		1,800
Money flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/7/76/NH-Money_flooring.png/revision/latest?cb=20200409050324	1x bag of 50,000 bells	NA		25,000
Mush wall	https://vignette.wikia.nocookie.net/animalcrossing/images/5/50/NH-Mush_wall.png/revision/latest?cb=20200409050330	1x elegant mushroom1x round mushroom1x skinny mushroom1x flat mushroom	NA		21,400
Orange rug	https://vignette.wikia.nocookie.net/animalcrossing/images/1/19/NH-Orange_rug.png/revision/latest?cb=20200329071057	6x orange	NA		1,200
Orange wall	https://vignette.wikia.nocookie.net/animalcrossing/images/8/80/NH-Orange_wall.png/revision/latest?cb=20200329072708	20x orange	NA	Message in a bottle	4,000
Peach rug	https://vignette.wikia.nocookie.net/animalcrossing/images/5/58/NH-Peach_rug.png/revision/latest?cb=20200329062724	6x peach	NA		1,200
Peach wall	https://vignette.wikia.nocookie.net/animalcrossing/images/c/ca/NH-Peach_wall.png/revision/latest?cb=20200329072652	20x peach	NA	Island resident	4,000
Pear rug	https://vignette.wikia.nocookie.net/animalcrossing/images/4/4f/NH-Pear_rug.png/revision/latest?cb=20200329071134	6x pear	NA		1,200
Pear wall	https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/NH-Pear_wall.png/revision/latest?cb=20200329072635	20x pear	NA	Island resident	4,000
Rustic-stone wall	https://vignette.wikia.nocookie.net/animalcrossing/images/c/ca/NH-Rustic_stone_wall.png/revision/latest?cb=20200409050335	5x stone5x clay	NA		1,750
Sakura-wood flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/0/09/NH-Sakura-wood_flooring_DIY.png/revision/latest?cb=20200409051345	5x cherry-blossom petal10x wood	NA	Balloon	3,200
Sakura-wood wall	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/NH-Sakura-wood_wall_DIY.png/revision/latest?cb=20200409051351	5x cherry-blossom petal10x wood	NA	Balloon	3,200
Sandy-beach flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/9/9f/NH-Sandy-beach_flooring.png/revision/latest?cb=20200329072800	1x sea snail1x venus comb1x sand dollar1x coral1x giant clam1x cowrie	NA	Island resident	4,120
Sci-fi flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/NH-Sci-fi_flooring.png/revision/latest?cb=20200409050432	5x star fragment1x large star fragment	NA		7,500
Sci-fi wall	https://vignette.wikia.nocookie.net/animalcrossing/images/b/ba/NH-Sci-fi_wall.png/revision/latest?cb=20200409050437	5x star fragment1x large star fragment	NA	"Balloon
Celeste"	7,500
Shell rug	https://vignette.wikia.nocookie.net/animalcrossing/images/1/1f/NH-Shell_rug.png/revision/latest?cb=20200326055931	3x giant clam	NA		5,400
Ski-slope flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/5/5c/NH-Ski-slope_flooring.png/revision/latest?cb=20200409050443	8 snowflake	NA		3,200
Ski-slope wall	https://vignette.wikia.nocookie.net/animalcrossing/images/3/3d/NH-Ski-slope_wall.png/revision/latest?cb=20200409050447	8 snowflake	NA		3,200
Snowflake wall	https://vignette.wikia.nocookie.net/animalcrossing/images/f/fa/NH-Snowflake_wall.png/revision/latest?cb=20200409050454	12 snowflake	NA		4,800
Stacked-wood wall	https://vignette.wikia.nocookie.net/animalcrossing/images/1/1f/NH-Stacked-wood_wall.png/revision/latest?cb=20200409050459	15x hardwood	NA		1,800
Starry wall	https://vignette.wikia.nocookie.net/animalcrossing/images/3/31/NH-Starry_wall.png/revision/latest?cb=20200409050504	5x star fragment1x large star fragment	NA	Celeste	7,500
Starry-sands flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/4/4d/NH-Starry-sands_flooring.png/revision/latest?cb=20200409050510	3x summer shell1x sandy-beach flooring	NA	Message in a bottle	7,720
Starry-sky wall	https://vignette.wikia.nocookie.net/animalcrossing/images/8/8e/NH-Starry-sky_wall.png/revision/latest?cb=20200409050520	5 star fragment1 large star fragment	NA		7,500
Steel flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/NH-Steel_flooring.png/revision/latest?cb=20200409050726	7x iron nugget	NA	Message in a bottle	5,250
Steel-frame wall	https://vignette.wikia.nocookie.net/animalcrossing/images/8/88/NH-Steel-frame_wall.png/revision/latest?cb=20200409050530	8x iron nugget	NA	Message in a bottle	6,000
Stone wall	https://vignette.wikia.nocookie.net/animalcrossing/images/6/64/NH-Stone_wall.png/revision/latest?cb=20200409050536	10x stone	NA	Island resident	1,500
Tropical Vista	https://vignette.wikia.nocookie.net/animalcrossing/images/2/26/NH-Tropical_vista.png/revision/latest?cb=20200409050543	5x summer shell	NA	Message in a bottle	6,000
Underwater flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/5/57/NH-Underwater_flooring.png/revision/latest?cb=20200409050549	3x summer shell3x coral	NA	Message in a bottle	6,600
Underwater wall	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c0/NH-Underwater_wall.png/revision/latest?cb=20200409050604	3x summer shell5x coral	NA	Message in a bottle	8,600
Water flooring	https://vignette.wikia.nocookie.net/animalcrossing/images/3/34/NH-Water_flooring.png/revision/latest?cb=20200409050555	6x summer shell	NA	Balloon	7,200
Wild-wood wall	https://vignette.wikia.nocookie.net/animalcrossing/images/6/64/NH-Wild-wood_wall.png/revision/latest?cb=20200409050612	15x wood	NA		1,800
Wooden-knot wall	https://vignette.wikia.nocookie.net/animalcrossing/images/e/e9/NH-Wooden-knot_wall.png/revision/latest?cb=20200409050618	15x hardwood	NA	Message in a bottle	1,800
Wooden-mosaic wall	https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/NH-Wooden-mosiac_wall.png/revision/latest?cb=20200409050623	15x wood	NA	Island resident	1,800
Woodland wall	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d9/NH-Woodland_wall.png/revision/latest?cb=20200409044819	15x clump of weeds9x softwood	NA	Island Resident	1,380
