Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price	Recipe Item
Bamboo floor lamp	https://vignette.wikia.nocookie.net/animalcrossing/images/5/58/NH-Bamboo_floor_lamp.png/revision/latest?cb=20200327120434	8x bamboo piece	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	1,280	
Bamboo noodle slide	https://vignette.wikia.nocookie.net/animalcrossing/images/e/ed/NH-Bamboo_noodle_slide.png/revision/latest?cb=20200326191201	7x young spring bamboo3x wood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d4/NH3.0x1.0sq.jpg/revision/latest?cb=20200324214535	BalloonIsabelle	3,160	
Bamboo partition	https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-Bamboo_partition.png/revision/latest?cb=20200327115702	7x bamboo piece6x stone	NA	Balloon	2,020	
Bamboo shelf	https://vignette.wikia.nocookie.net/animalcrossing/images/1/14/NH-Bamboo_shelf.png/revision/latest?cb=20200328071233	15x bamboo piece	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	Message in a bottle	2,400	
Bamboo speaker	https://vignette.wikia.nocookie.net/animalcrossing/images/f/fb/NH-Bamboo_speaker.png/revision/latest?cb=20200328055254	3x bamboo piece1x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	1,230	
Bamboo stool	https://vignette.wikia.nocookie.net/animalcrossing/images/a/a9/NH-Bamboo_stool.png/revision/latest?cb=20200327210219	5x bamboo piece	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	800	
Bamboo stopblock	https://vignette.wikia.nocookie.net/animalcrossing/images/5/57/NH-Bamboo_stopblock.png/revision/latest?cb=20200326205453	3x bamboo piece	https://vignette.wikia.nocookie.net/animalcrossing/images/7/70/NH1.0x0.5sq.jpg/revision/latest?cb=20200327084231	Island resident	480	
Barbell	https://vignette.wikia.nocookie.net/animalcrossing/images/7/71/NH-Barbell.png/revision/latest?cb=20200326033047	10x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	"Island resident
Message in a bottle"	7,500	
Barrel	https://vignette.wikia.nocookie.net/animalcrossing/images/6/65/NH-Barrel.png/revision/latest?cb=20200325181515	5x wood2x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	"Island resident
Tom Nook"	2,100	
Beekeeper's hive	https://vignette.wikia.nocookie.net/animalcrossing/images/8/80/NH-Beekeeper%27s_hive.png/revision/latest?cb=20200326033146	3x wasp nest5x wood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	2,400	
Big festive tree	https://vignette.wikia.nocookie.net/animalcrossing/images/0/07/NH-Big_festive_tree.png/revision/latest?cb=20200329085255	6x red ornament6x blue ornament4x gold ornament5x wood5x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/NH2.0x2.0sq.jpg/revision/latest?cb=20200324214617		3,200	
Birdbath	https://vignette.wikia.nocookie.net/animalcrossing/images/8/8c/NH-Birdbath.png/revision/latest?cb=20200325181535	6x stone	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Tom Nook after receiving first three housing kits	400	
Birdcage	https://vignette.wikia.nocookie.net/animalcrossing/images/f/fe/NH-Bird_cage.png/revision/latest?cb=20200328211656	8x wood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	960	
Birdhouse	https://vignette.wikia.nocookie.net/animalcrossing/images/9/98/NH-Birdhouse.png/revision/latest?cb=20200325181541	2x wood5x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Tom Nook after receiving first three housing kits	840	
Blossom-viewing lantern	https://vignette.wikia.nocookie.net/animalcrossing/images/3/36/NH-Blossom-viewing_lantern.png/revision/latest?cb=20200331234028	6x cherry-blossom petal4x hardwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Balloon	2,880	
Bonfire	https://vignette.wikia.nocookie.net/animalcrossing/images/5/51/NH-Bonfire.png/revision/latest?cb=20200325181547	1x campfire10x wood	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/NH2.0x2.0sq.jpg/revision/latest?cb=20200324214617	Tom Nook	1,230	
Bonsai shelf	https://vignette.wikia.nocookie.net/animalcrossing/images/0/0c/NH-Bonsai_shelf.png/revision/latest?cb=20200329121645	1x cherry-blossom bonsai1x pine bonsai tree8x wood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	Message in a bottle	8,460	
Brick oven	https://vignette.wikia.nocookie.net/animalcrossing/images/3/3a/NH-Brick_oven.png/revision/latest?cb=20200325181553	8x clay2x iron nugget6x wood	https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH1.5x1.5sq.jpg/revision/latest?cb=20200324214642	Wildest Dreams DIY	3,820	
Brick well	https://vignette.wikia.nocookie.net/animalcrossing/images/b/b8/NH-Brick_well.png/revision/latest?cb=20200327080223	8x clay5x wood1x flimsy shovel	https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH1.5x1.5sq.jpg/revision/latest?cb=20200324214642	Nook Stop (2,000 Nook Miles)	2,800	
Bunny Day arch	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c7/NH-Bunny_Day_arch.png/revision/latest?cb=20200403095251	2x earth egg2x stone egg2x leaf egg2x wood egg2x sky egg2x water egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d4/NH3.0x1.0sq.jpg/revision/latest?cb=20200324214535	Bunny Day	4,800	
Bunny Day bed	https://vignette.wikia.nocookie.net/animalcrossing/images/1/19/NH-Bunny_Day_bed.png/revision/latest?cb=20200401220608	1x earth egg1x stone egg1x leaf egg1x wood egg1x sky egg1x water egg	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/NH2.0x2.0sq.jpg/revision/latest?cb=20200324214617	Bunny Day	2,400	
Bunny Day festive balloons	https://vignette.wikia.nocookie.net/animalcrossing/images/2/25/NH-Bunny_Day_festive_balloons.png/revision/latest?cb=20200401234427	1x stone egg1x wood egg1x water egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Bunny Day	1,200	
Bunny Day merry balloons	https://vignette.wikia.nocookie.net/animalcrossing/images/f/fe/NH-Bunny_Day_merry_balloons.png/revision/latest?cb=20200401234405	1x earth egg1x leaf egg1x sky egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Bunny Day	1,200	
Bunny Day stool	https://vignette.wikia.nocookie.net/animalcrossing/images/3/37/NH-Bunny_Day_stool.png/revision/latest?cb=20200401220630	3x water egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Bunny Day	1,200	
Bunny Day table	https://vignette.wikia.nocookie.net/animalcrossing/images/e/e3/NH-Bunny_Day_table.png/revision/latest?cb=20200403093651	4x earth egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Bunny Day	1,600	
Bunny Day vanity	https://vignette.wikia.nocookie.net/animalcrossing/images/2/24/NH-Bunny_Day_vanity.png/revision/latest?cb=20200401220640	4x leaf egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Bunny Day	1,600	
Bunny Day wardrobe	https://vignette.wikia.nocookie.net/animalcrossing/images/5/55/NH-Bunny_Day_wardrobe.png/revision/latest?cb=20200402124712	​​​​​4x ​​stone egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Bunny Day	1,600	
Butter churn	https://vignette.wikia.nocookie.net/animalcrossing/images/3/3f/NH-Butter_churn.png/revision/latest?cb=20200329060854	4x wood2x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	1,980	
Campfire	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c1/NH-Campfire.png/revision/latest?cb=20200325181604	3x tree branch	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Tom Nook (first DIY workshop)	30	✓
Cancer table	https://vignette.wikia.nocookie.net/animalcrossing/images/f/f4/NH-Cancer_table.png/revision/latest?cb=20200328083544	3x star fragment2x Cancer fragment2x gold nugget3x stone	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Celeste	21,975	
Capricorn ornament	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7a/NH-Capricorn_ornament.png/revision/latest?cb=20200328083804	3x star fragment2x Capricornus fragment2x gold nugget12x stone	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	Celeste	22,650	
Cardboard bed	https://vignette.wikia.nocookie.net/animalcrossing/images/a/aa/NH-Cardboard_bed.png/revision/latest?cb=20200325181609	4x cardboard box	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	Message in a bottle	240	
Cardboard chair	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c1/NH-Cardboard_chair.png/revision/latest?cb=20200327080849	1x cardboard box	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		60	
Cardboard sofa	https://vignette.wikia.nocookie.net/animalcrossing/images/9/93/NH-Cardboard_sofa.png/revision/latest?cb=20200326062446	2x cardboard box	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	Message in a bottle	120	
Cardboard table	https://vignette.wikia.nocookie.net/animalcrossing/images/1/1e/NH-Cardboard_table.png/revision/latest?cb=20200327080921	4x cardboard box	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/NH2.0x2.0sq.jpg/revision/latest?cb=20200324214617		240	
Cherry-blossom branches	https://vignette.wikia.nocookie.net/animalcrossing/images/0/04/NH-Cherry-blossom_branches.png/revision/latest?cb=20200329082855	8x cherry-blossom petal4x tree branch5x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH1.5x1.5sq.jpg/revision/latest?cb=20200324214642	Balloon	4,240	
Cherry-blossom-petal pile	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c0/NH-Cherry-blossom-petal_pile.png/revision/latest?cb=20200403040315	5x cherry-blossom petal	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Balloon	2,000	
Cherry-blossom pond stone	https://vignette.wikia.nocookie.net/animalcrossing/images/2/23/NH-Cherry-blossom_pond_stone.png/revision/latest?cb=20200329082235	10x stone3x cherry-blossom petal	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	Balloon	2,700	
Clackercart	https://vignette.wikia.nocookie.net/animalcrossing/images/9/92/NH-Clackercart.png/revision/latest?cb=20200325181614	2x hardwood6x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	960	
Clothesline	https://vignette.wikia.nocookie.net/animalcrossing/images/a/a1/NH-Clothesline.png/revision/latest?cb=20200325181625	10x tree branch	https://vignette.wikia.nocookie.net/animalcrossing/images/2/26/NH2.0x0.5sq.jpg/revision/latest?cb=20200324214733	Tom Nook after receiving first three housing kits	100	
Cosmos shower	https://vignette.wikia.nocookie.net/animalcrossing/images/4/41/NH-Cosmos_shower.png/revision/latest?cb=20200329095808	5x pink cosmos3x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		3,050	
Crescent-moon chair	https://vignette.wikia.nocookie.net/animalcrossing/images/d/dc/NH-Crescent-moon_chair.png/revision/latest?cb=20200329093128	7x star fragment1x large star fragment	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841		8,500	
Crewed spaceship	https://vignette.wikia.nocookie.net/animalcrossing/images/e/e0/NH-Crewed_spaceship.png/revision/latest?cb=20200329102644	10x star fragment20x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/NH2.0x2.0sq.jpg/revision/latest?cb=20200324214617		20,000	
Deer scare	https://vignette.wikia.nocookie.net/animalcrossing/images/8/85/NH-Deer_scare.png/revision/latest?cb=20200326090938	3x bamboo piece8x stone3x clump of weeds	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Balloon	1,740	
Destinations signpost	https://vignette.wikia.nocookie.net/animalcrossing/images/3/3e/NH-Destinations_signpost.png/revision/latest?cb=20200327130156	4x hardwood8x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH1.5x1.5sq.jpg/revision/latest?cb=20200324214642	Nook Stop (1,500 Nook Miles)	1,440	
DIY workbench	https://vignette.wikia.nocookie.net/animalcrossing/images/f/f4/NH-DIY_workbench.png/revision/latest?cb=20200329082321	5x wood5x hardwood5x softwood3x iron nugget1x mini DIY workbench	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	Island resident	6,630	
Doghouse	https://vignette.wikia.nocookie.net/animalcrossing/images/0/05/NH-Dog_house.png/revision/latest?cb=20200327122059	10x wood7x hardwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	2,040	
Drinking fountain	https://vignette.wikia.nocookie.net/animalcrossing/images/7/72/NH-Drinking_fountain.png/revision/latest?cb=20200326070215	8x stone2x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Nook Stop (800 Nook Miles)	2,700	✓
Festive tree	https://vignette.wikia.nocookie.net/animalcrossing/images/4/44/NH-Festive_tree.png/revision/latest?cb=20200329085242	3 red ornament3 blue ornament2 gold ornament5 wood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,400	
Flat garden rock	https://vignette.wikia.nocookie.net/animalcrossing/images/d/dd/NH-Flat_garden_rock.png/revision/latest?cb=20200329062351	20x stone	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	Message in a bottle	3,000	
Flower stand	https://vignette.wikia.nocookie.net/animalcrossing/images/f/fc/NH-Flower_stand.png/revision/latest?cb=20200405095958	1x red roses2x pink roses2x orange roses2x white lilies1x yellow lilies4x purple windflowers	https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH1.5x1.5sq.jpg/revision/latest?cb=20200324214642	Island resident	2,880	
Flying saucer	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d5/NH-Flying_saucer.png/revision/latest?cb=20200329102938	15x star fragment10x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/NH2.0x2.0sq.jpg/revision/latest?cb=20200324214617	Celeste	15,000	
Fountain	https://vignette.wikia.nocookie.net/animalcrossing/images/a/aa/NH-Fountain.png/revision/latest?cb=20200326061855	1x drinking fountain20x stone8x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/de/NH3.0x3.0sq.jpg/revision/latest?cb=20200324215104	Nook Stop (3,000 Nook Miles)	11,700	
Frozen arch	https://vignette.wikia.nocookie.net/animalcrossing/images/8/85/NH-Frozen_arch.png/revision/latest?cb=20200329095822	1x large snowflake10x snowflake	NA		9,000	
Frozen bed	https://vignette.wikia.nocookie.net/animalcrossing/images/8/87/NH-Frozen_bed.png/revision/latest?cb=20200329095833	1x large snowflake10x snowflake	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/NH2.0x2.0sq.jpg/revision/latest?cb=20200324214617		9,000	
Frozen chair	https://vignette.wikia.nocookie.net/animalcrossing/images/2/2e/NH-Frozen_chair.png/revision/latest?cb=20200331110956	1x large snowflake3x snowflake	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		6,200	
Frozen counter	https://vignette.wikia.nocookie.net/animalcrossing/images/e/e4/NH-Frozen_counter.png/revision/latest?cb=20200331111007	1x large snowflake5x snowflake	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841		7,000	
Frozen partition	https://vignette.wikia.nocookie.net/animalcrossing/images/b/bc/NH-Frozen_partition.png/revision/latest?cb=20200329095911	1x large snowflake6x snowflake	NA		7,400	
Frozen pillar	https://vignette.wikia.nocookie.net/animalcrossing/images/b/ba/NH-Frozen_pillar.png/revision/latest?cb=20200329095924	1x large snowflake3x snowflake	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		6,200	
Frozen sculpture	https://vignette.wikia.nocookie.net/animalcrossing/images/d/de/NH-Frozen_sculpture.png/revision/latest?cb=20200329095937	1x large snowflake4x snowflake	NA		6,600	
Frozen table	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c6/NH-Frozen_table.png/revision/latest?cb=20200329095953	1x large snowflake8x snowflake	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/NH2.0x2.0sq.jpg/revision/latest?cb=20200324214617		8,200	
Frozen tree	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/NH-Frozen_tree.png/revision/latest?cb=20200329100004	1x large snowflake8x snowflake	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/NH2.0x2.0sq.jpg/revision/latest?cb=20200324214617		8,200	
Garden bench	https://vignette.wikia.nocookie.net/animalcrossing/images/3/33/NH-Garden_bench.png/revision/latest?cb=20200329082405	12x wood4x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	Island resident	4,440	
Garden rock	https://vignette.wikia.nocookie.net/animalcrossing/images/4/4c/NH-Garden_rock.png/revision/latest?cb=20200329060438	15x stone	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Balloon	2,250	
Garden wagon	https://vignette.wikia.nocookie.net/animalcrossing/images/8/86/NH-Garden_wagon.png/revision/latest?cb=20200326064127	3x white hyacinths3x red cosmos3x yellow roses8x wood2x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	Message in a bottle	3,180	
Gemini closet	https://vignette.wikia.nocookie.net/animalcrossing/images/6/61/NH-Gemini_closet.png/revision/latest?cb=20200327123010	3x star fragment2x Gemini fragment2x gold nugget6x stone	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Celeste	22,000	
Giant teddy bear	https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/NH-Giant_teddy_bear.png/revision/latest?cb=20200329121706	1x Papa bear1x Mama bear1x Baby bear	https://vignette.wikia.nocookie.net/animalcrossing/images/d/de/NH3.0x3.0sq.jpg/revision/latest?cb=20200324215104	Island resident	6,300	
Golden casket	https://vignette.wikia.nocookie.net/animalcrossing/images/6/63/NH-Golden_casket.png/revision/latest?cb=20200329093153	8x gold nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841		80,000	
Golden seat	https://vignette.wikia.nocookie.net/animalcrossing/images/f/fe/NH-Golden_seat.png/revision/latest?cb=20200329093207	5x gold nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	Island resident	50,000	
Golden toilet	https://vignette.wikia.nocookie.net/animalcrossing/images/2/2d/NH-Golden_toilet.png/revision/latest?cb=20200329093220	6x gold nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		60,000	
Gong	https://vignette.wikia.nocookie.net/animalcrossing/images/3/32/NH-Gong.png/revision/latest?cb=20200326021416	"6x iron nugget
5x wood"	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	Message in a bottle	5,100	
Grass standee	https://vignette.wikia.nocookie.net/animalcrossing/images/0/0c/NH-Grass_standee.png/revision/latest?cb=20200328035600	2x wood2x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/7/70/NH1.0x0.5sq.jpg/revision/latest?cb=20200327084231	"Island resident
Message in a bottle"	480	
Green-leaf pile	https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/NH-Green-leaf_pile.png/revision/latest?cb=20200325181826	1x young spring bamboo10x clump of weeds	https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH1.5x1.5sq.jpg/revision/latest?cb=20200324214642	Balloon	600	
Hay bed	https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/NH-Hay_bed.png/revision/latest?cb=20200325181833	20x clump of weeds	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	DIY for Beginners	400	
Hearth	https://vignette.wikia.nocookie.net/animalcrossing/images/2/2f/NH-Hearth.png/revision/latest?cb=20200325181840	2x bamboo piece5x iron nugget4x clay5x hardwood	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/NH2.0x2.0sq.jpg/revision/latest?cb=20200324214617	Wildest Dreams DIY	5,470	
Hedge standee	https://vignette.wikia.nocookie.net/animalcrossing/images/e/ed/NH-Hedge_standee.png/revision/latest?cb=20200328035732	2x wood3x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/7/70/NH1.0x0.5sq.jpg/revision/latest?cb=20200327084231	Villager	600	
Illuminated present	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7e/NH-Illuminated_present.png/revision/latest?cb=20200329100020	3x red ornament4x gold ornament3x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		2,950	
Illuminated reindeer	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6e/NH-Illuminated_reindeer.png/revision/latest?cb=20200329100033	6x gold ornament5x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841		4,350	
Illuminated snowflakes	https://vignette.wikia.nocookie.net/animalcrossing/images/2/2c/NH-Illuminated_snowflakes.png/revision/latest?cb=20200329121734	9x blue ornament3x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841		3,150	
Illuminated tree	https://vignette.wikia.nocookie.net/animalcrossing/images/9/99/NH-Illuminated_tree.png/revision/latest?cb=20200329100044	8x red ornament8x blue ornament6x gold ornament6x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/NH2.0x2.0sq.jpg/revision/latest?cb=20200324214617		6,700	
Iron closet	https://vignette.wikia.nocookie.net/animalcrossing/images/c/cd/NH-Iron_closet.png/revision/latest?cb=20200329053011	12x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		9,000	
