Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price	NA
Cool hyacinth wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/8/89/NH-Cool_hyacinth_wreath.png/revision/latest?cb=20200423194716	3x orange hyacinths3x blue hyacinths3x pink hyacinths	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,440	NA
Cool pansy wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/3/33/NH-Cool_pansy_wreath.png/revision/latest?cb=20200423194710	10x purple pansies	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		4,800	NA
Cool windflower wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/1/1e/NH-Cool_windflower_wreath.png/revision/latest?cb=20200423194704	3x blue windflowers3x pink windflowers3x white windflowers	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,200	NA
Cosmos wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c4/NH-Cosmos_wreath.png/revision/latest?cb=20200327134912	3x yellow cosmos3x white cosmos3x red cosmos	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Tom Nook after receiving first three housing kits, if flowers on top of the player's island are cosmos	720	NA
Crest doorplate	https://vignette.wikia.nocookie.net/animalcrossing/images/1/1b/NH-Crest_doorplate.png/revision/latest?cb=20200326034617	4x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	3,000	NA
Dark lily wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/5/53/NH-DarkLilyWreath.png/revision/latest?cb=20200424200659	10x black lilies	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,600	NA
Dark rose wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/a/ad/NH-Dark_rose_wreath.png/revision/latest?cb=20200423194659	3x black roses6x purple roses	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		4,320	NA
Dark tulip wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/e/ef/NH-Dark_tulip_wreath.png/revision/latest?cb=20200423194653	10x black tulips	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,600	NA
Deer decoration	https://vignette.wikia.nocookie.net/animalcrossing/images/b/bf/NH-Deer_decoration.png/revision/latest?cb=20200328211811	8x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/0/02/NH1.0x1.5sq.jpg/revision/latest?cb=20200329042842	Message in a bottle	960	NA
Fancy mum wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/8/82/NH-Fancy_mum_wreath.png/revision/latest?cb=20200424030144	3x pink mums3x purple mums3x red mums	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	1,200	NA
Fancy lily wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/1/10/NH-Fancy_lily_wreath.png/revision/latest?cb=20200423194737	3x orange lilies3x pink lilies3x yellow lilies	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,200	NA
Fancy rose wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/3/3a/NH-Fancy_rose_wreath.png/revision/latest?cb=20200330011844	3x orange roses3x pink roses3x yellow roses	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	1,200	NA
Floral swag	https://vignette.wikia.nocookie.net/animalcrossing/images/2/25/NH-Floral_swag.png/revision/latest?cb=20200331225229	10x clump of weeds	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	200	NA
Fossil doorplate	https://vignette.wikia.nocookie.net/animalcrossing/images/7/73/NH-Fossil_doorplate.png/revision/latest?cb=20200326233607	1x fossil2x stone	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	500	NA
Fruit wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/1/1d/NH-Fruit_wreath.png/revision/latest?cb=20200423194648	2x apple1x pear3x cherry3x orange1x peach	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		2,000	NA
Gold rose wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/8/85/NH-Gold_rose_wreath.png/revision/latest?cb=20200423194641	10x gold roses	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		20,000	NA
Golden gears	https://vignette.wikia.nocookie.net/animalcrossing/images/3/3e/NH-Golden_gears.png/revision/latest?cb=20200329093520	1x gold nugget3x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	"Island resident
Message in a bottle"	11,125	NA
Hanging terrarium	https://vignette.wikia.nocookie.net/animalcrossing/images/0/0a/NH-Hanging_terrarium.png/revision/latest?cb=20200327134616	12x clump of weeds4x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	3,240	NA
Hyacinth wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/NH-Hyacinth_wreath.png/revision/latest?cb=20200327134428	3x white hyacinths3x red hyacinths3x yellow hyacinths	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	720	NA
Iron doorplate	https://vignette.wikia.nocookie.net/animalcrossing/images/8/89/NH-Iron_doorplate.png/revision/latest?cb=20200328211919	2x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Balloon	1,500	NA
Iron wall lamp	https://vignette.wikia.nocookie.net/animalcrossing/images/a/a5/NH-Iron_wall_lamp.png/revision/latest?cb=20200325181906	4x iron nugget2x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Wildest Dreams DIY	3,400	NA
Iron wall rack	https://vignette.wikia.nocookie.net/animalcrossing/images/2/2b/NH-Iron_wall_rack.png/revision/latest?cb=20200401094903	3x iron nugget1x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		2,450	NA
Ironwood clock	https://vignette.wikia.nocookie.net/animalcrossing/images/4/47/NH-Ironwood_clock.png/revision/latest?cb=20200326044056	2x wood2x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	1,740	NA
Key holder	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/NH-Key_holder.png/revision/latest?cb=20200326044156	3x wood1x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	1,110	NA
Leo sculpture	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH-Leo_sculpture.png/revision/latest?cb=20200328083419	3x star fragment2x Leo fragment2x gold nugget3x stone	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Celeste	21,975	NA
Lily wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c6/NH-Lily_wreath.png/revision/latest?cb=20200326034538	3x white lilies3x red lilies3x yellow lilies	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Tom Nook after receiving first three housing kits, if flowers on top of the player's island are lilies;Message in a bottle	720	NA
Log wall-mounted clock	https://vignette.wikia.nocookie.net/animalcrossing/images/b/bb/NH-Log_wall-mounted_clock.png/revision/latest?cb=20200328002157	2x hardwood1x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		990	NA
Mum wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/1/18/NH-Mum_wreath.png/revision/latest?cb=20200327134941	3x white mums3x yellow mums3x red mums	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Tom Nook after receiving first three housing kits, if flowers on top of the player's island are mums.	720	NA
Mushroom wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/NH-Mushroom_wreath.png/revision/latest?cb=20200423194553	10x tree branch1x round mushroom1x skinny mushroom1x flat mushroom	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,500	NA
Natural mum wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/4/4f/NH-Natural_mum_wreath.png/revision/latest?cb=20200423194548	10x green mums	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		4,800	NA
Orange wall-mounted clock	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6d/NH-Orange_wall-mounted_clock.png/revision/latest?cb=20200326064426	10x orange2x wood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Tom Nook (if native fruit is oranges)	2,240	NA
Ornament mobile	https://vignette.wikia.nocookie.net/animalcrossing/images/4/4e/NH-Ornament_mobile.png/revision/latest?cb=20200329100649	1x red ornament1x blue ornament1x gold ornament4x tree branch	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		340	NA
Ornament wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/5/56/NH-Ornament_wreath.png/revision/latest?cb=20200423194542	6x blue ornament2x gold ornament	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		800	NA
Pansy wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/7/71/NH-Pansy_wreath.png/revision/latest?cb=20200326034346	3x yellow pansies3x white pansies3x red pansies	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Tom Nook after receiving first three housing kits, if flowers on top of the player's island are pansies	720	NA
Paw-print doorplate	https://vignette.wikia.nocookie.net/animalcrossing/images/e/e5/NH-Paw-print_doorplate.png/revision/latest?cb=20200329062624	3x wood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		360	NA
Potted ivy	https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/NH-Potted_ivy.png/revision/latest?cb=20200325182118	5x clump of weeds5x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	A villager after being stung	1,100	NA
Pretty cosmos wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/c/cd/NH-Pretty_cosmos_wreath.png/revision/latest?cb=20200402001904	3x orange cosmos3x pink cosmos3x red cosmos	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,200	NA
Pretty tulip wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/b/bb/NH-Pretty_tulip_wreath.png/revision/latest?cb=20200423194515	3x orange tulips3x pink tulips3x purple tulips	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	2,400	NA
Purple hyacinth wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/5/50/NH-Purple_hyacinth_wreath.png/revision/latest?cb=20200423194537	10x purple hyacinths	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		4,800	NA
Rose wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6d/NH-Rose_wreath.png/revision/latest?cb=20200325182148	3x red roses3x white roses3x yellow roses	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	"Island resident
Tom Nook when giving you 3 housing plots"	720	NA
Sagittarius arrow	https://vignette.wikia.nocookie.net/animalcrossing/images/b/be/NH-Sagittarius_arrow.png/revision/latest?cb=20200328084140	3x star fragment2x Sagittarius fragment2x gold nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Celeste	21,750	NA
Shell wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/5/57/NH-Shell_wreath.png/revision/latest?cb=20200423194532	1x summer shell1x sea snail1x sand dollar1x coral1x giant clam	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		4,720	NA
Snazzy pansy wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/4/45/NH-Snazzy_pansy_wreath.png/revision/latest?cb=20200423194527	3x yellow pansies3x orange pansies3x blue pansies	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	1,200	NA
Snowflake wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/e/ea/NH-Snowflake_wreath.png/revision/latest?cb=20200423194522	4x snowflake	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,600	NA
Star clock	https://vignette.wikia.nocookie.net/animalcrossing/images/9/97/NH-Star_clock.png/revision/latest?cb=20200329093541	3x star fragment1x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Celeste	2,250	NA
Starry garland	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/NH-Starry_garland.png/revision/latest?cb=20200329093557	10x star fragment	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	Celeste	5,000	NA
Timber doorplate	https://vignette.wikia.nocookie.net/animalcrossing/images/5/5f/NH-Timber_doorplate.png/revision/latest?cb=20200330004946	2x wood1x pink roses	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	"Balloon
Island resident"	400	NA
Tree's bounty mobile	https://vignette.wikia.nocookie.net/animalcrossing/images/0/0c/NH-Tree%27s_bounty_mobile.png/revision/latest?cb=20200329100702	2x pine cone3x acorn3x tree branch	NA		2,030	NA
Tree branch wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/1/1e/NH_Tree_branch_wreath.png/revision/latest?cb=20200326035450	10x tree branch	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	100	NA
Tulip wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/NH-Tulip_wreath.png/revision/latest?cb=20200329070158	3x red tulips3x yellow tulips3x white tulips	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		720	NA
Windflower wreath	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7b/NH-Windflower_wreath.png/revision/latest?cb=20200327134959	3x red windflowers3x white windflowers3x orange windflowers	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Tom Nook after receiving first three housing kits, if flowers on top of the player's island are windflowers	720	NA
Wooden-block wall clock	https://vignette.wikia.nocookie.net/animalcrossing/images/e/ea/NH-Wooden-block_wall_clock.png/revision/latest?cb=20200326063150	1x wooden-block toy2x softwood1x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	1350	NA
Wooden-plank sign	https://vignette.wikia.nocookie.net/animalcrossing/images/a/a8/NH-Wooden-plank_sign.png/revision/latest?cb=20200424224145	5x hardwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/NH2.0x1.0sq.jpg/revision/latest?cb=20200324214841	Message in a bottle	600	NA
