Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price
Cherry-blossom pochette	https://vignette.wikia.nocookie.net/animalcrossing/images/6/61/NH-Cherry-blossom_pochette.png/revision/latest?cb=20200329080641	6x cherry-blossom petal	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Balloon during Cherry Blossom Festival	2,400
Cherry-blossom umbrella	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6e/NH-CHerry-blossom_umbrella.png/revision/latest?cb=20200329103215	7x cherry-blossom petal	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Balloon during Cherry Blossom Festival	2,800
Cherry dress	https://vignette.wikia.nocookie.net/animalcrossing/images/1/1c/NH-Cherry_dress.png/revision/latest?cb=20200329075728	8x cherry	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	1,600
Cherry hat	https://vignette.wikia.nocookie.net/animalcrossing/images/1/17/NH-Cherry_hat.png/revision/latest?cb=20200329080651	5x cherry	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,000
Cherry umbrella	https://vignette.wikia.nocookie.net/animalcrossing/images/e/e0/NH-Cherry_umbrella.png/revision/latest?cb=20200329075701	7x cherry	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,400
Chic mum crown	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7d/NH-Mum_crown-variation2.png/revision/latest?cb=20200329223051	3x purple mums3x pink mums	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	960
Chic rose crown	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7d/NH-Rose_crown_3.png/revision/latest?cb=20200329224423	3x purple roses3x black roses	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		2,880
Chic tulip crown	https://vignette.wikia.nocookie.net/animalcrossing/images/2/24/NH-Cute_tulip_crown.png/revision/latest?cb=20200329223102	2x purple tulips2x pink tulips1x orange tulips	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,440
Cool pansy crown	https://vignette.wikia.nocookie.net/animalcrossing/images/6/61/NH-Cool_pansy_crown.png/revision/latest?cb=20200329072546	3x orange pansies3x blue pansies	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	960
Cool hyacinth crown	https://vignette.wikia.nocookie.net/animalcrossing/images/e/e8/NH-Hyacinth_crown_2.png/revision/latest?cb=20200329223445	4x blue hyacinths2x pink hyacinths2x orange hyacinths	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,280
Cool windflower crown	https://vignette.wikia.nocookie.net/animalcrossing/images/c/cf/NH-windflower_crown_variation2.png/revision/latest?cb=20200329223115	3x blue windflowers3x pink windflowers	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	960
Cosmos crown	https://vignette.wikia.nocookie.net/animalcrossing/images/9/97/NH-Cosmos_crown.png/revision/latest?cb=20200328032421	2x red cosmos2x yellow cosmos3x white cosmos	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	560
Cute lily crown	https://vignette.wikia.nocookie.net/animalcrossing/images/9/9e/NH-Cute_lily_crown.png/revision/latest?cb=20200329072944	2x  red lilies2x orange lilies2x white lilies	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	800
Cute rose crown	https://vignette.wikia.nocookie.net/animalcrossing/images/2/25/NH-Cute_rose_crown.png/revision/latest?cb=20200327140046	3x pink roses3x orange roses	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	960
Dark cosmos crown	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c9/NH-Cosmos_crown_3.png/revision/latest?cb=20200329223409	7x black cosmos	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		3,360
Dark lily crown	https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/NH-Lily_crown_3.png/revision/latest?cb=20200329223433	6x black lilies	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		960
Dark tulip crown	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7c/NH-Tulip_crown3.png/revision/latest?cb=20200329223420	5x black tulips	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		800
Earth-egg outfit	https://vignette.wikia.nocookie.net/animalcrossing/images/9/94/NH-Earth-egg_outfit.png/revision/latest?cb=20200402000401	3x earth egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Digging up earth eggs	1200
Earth-egg shell	https://vignette.wikia.nocookie.net/animalcrossing/images/0/07/NH-Earth-egg_shell.png/revision/latest?cb=20200402000413	2x earth egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Digging up earth eggs	800
Earth-egg shoes	https://vignette.wikia.nocookie.net/animalcrossing/images/4/44/NH-Earth-egg_shoes.png/revision/latest?cb=20200402000424	2x earth egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Digging up earth eggs	800
Egg party dress	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6d/NH-Dresses-Egg_party.png/revision/latest?cb=20200405010453	3x earth egg3x stone egg3x leaf egg3x wood egg3x sky egg3x water egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Unlock recipes for all six Bunny Day egg outfits	7,200
Egg party hat	https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/NH-Headwear-Egg_party_hat.png/revision/latest?cb=20200411180909	2x earth egg2x stone egg2x leaf egg2x wood egg2x sky egg2x water egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Unlock recipes for all six Bunny Day egg outfits	4,800
Gold armor	https://vignette.wikia.nocookie.net/animalcrossing/images/e/e4/NH-Gold_armor.png/revision/latest?cb=20200329062758	8x gold nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	"Island resident
Message in a bottle"	80,000
Gold-armor shoes	https://vignette.wikia.nocookie.net/animalcrossing/images/1/1e/NH-Gold_boots.png/revision/latest?cb=20200329223132	4x gold nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		40,000
Gold helmet	https://vignette.wikia.nocookie.net/animalcrossing/images/9/9b/NH-Gold_helmet.png/revision/latest?cb=20200329223143	5x gold nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		50,000
Gold rose crown	https://vignette.wikia.nocookie.net/animalcrossing/images/0/0b/NH-Gold_rose_crown.png/revision/latest?cb=20200329223151	6x gold roses	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		12,000
Grass skirt	https://vignette.wikia.nocookie.net/animalcrossing/images/5/5e/NH-Grass_skirt.png/revision/latest?cb=20200327133911	7x clump of weeds	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	140
Green grass skirt	https://vignette.wikia.nocookie.net/animalcrossing/images/0/04/NH-Green_grass_skirt.png/revision/latest?cb=20200329223208	7x clump of weeds	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	140
Hyacinth crown	https://vignette.wikia.nocookie.net/animalcrossing/images/b/b3/NH-Hyacinth_crown.png/revision/latest?cb=20200327135953	4x red hyacinths2x yellow hyacinths2x white hyacinths	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		640
Iron armor	https://vignette.wikia.nocookie.net/animalcrossing/images/a/aa/NH-Iron_armor.png/revision/latest?cb=20200329223218	8x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		6,000
Knight's helmet	https://vignette.wikia.nocookie.net/animalcrossing/images/3/3a/NH-Iron_helmet.png/revision/latest?cb=20200329223242	5x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	3,750
Knitted-grass backpack	https://vignette.wikia.nocookie.net/animalcrossing/images/4/49/NH-Grass-knitted_backpack.png/revision/latest?cb=20200329062844	20x clump of weeds	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	400
Leaf	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c5/NH-Leaf_accessory.png/revision/latest?cb=20200329223601	5x clump of weeds	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	80
Leaf mask	https://vignette.wikia.nocookie.net/animalcrossing/images/1/12/NH-Leaf_mask.png/revision/latest?cb=20200328211026	10x clump of weeds	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	200
Leaf umbrella	https://vignette.wikia.nocookie.net/animalcrossing/images/f/fd/NH-Leaf_umbrella.png/revision/latest?cb=20200325181931	15x clump of weeds	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	300
Leaf-egg outfit	https://vignette.wikia.nocookie.net/animalcrossing/images/b/bf/NH-Leaf-egg_outfit.png/revision/latest?cb=20200401234645	3x leaf egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Gather leaf eggs by shaking trees	1,200
Leaf-egg shell	https://vignette.wikia.nocookie.net/animalcrossing/images/2/2b/NH-Leaf-egg_shell.png/revision/latest?cb=20200401234656	2x leaf egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Gather leaf eggs by shaking trees	800
Leaf-egg shoes	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c1/NH-Leaf-egg_shoes.png/revision/latest?cb=20200401234714	2x leaf egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Gather leaf eggs by shaking trees	800
Lily crown	https://vignette.wikia.nocookie.net/animalcrossing/images/c/cb/NH-Lily_crown.png/revision/latest?cb=20200330021842	2x red lilies2x yellow lilies2x white lilies	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		480
Log pack	https://vignette.wikia.nocookie.net/animalcrossing/images/0/0d/NH-Log_pack.png/revision/latest?cb=20200326065343	3x wood5x hardwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Balloon	960
Lovely cosmos crown	https://vignette.wikia.nocookie.net/animalcrossing/images/9/9a/NH-Cosmos_crown_variation2.png/revision/latest?cb=20200329223037	4x pink cosmos3x orange cosmos	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,120
Maple-leaf pochette	https://vignette.wikia.nocookie.net/animalcrossing/images/9/97/NH-Maple-leaf_pochette.png/revision/latest?cb=20200329223254	6x maple leaf	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		2400
Maple-leaf umbrella	https://vignette.wikia.nocookie.net/animalcrossing/images/1/1d/NH-Maple-leaf_umbrella.png/revision/latest?cb=20200329223304	7x maple leaf	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		2,800
Mum crown	https://vignette.wikia.nocookie.net/animalcrossing/images/8/81/NH-Mum_crown.png/revision/latest?cb=20200402054003	2x red mums2x yellow mums2x white mums	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	480
Mush umbrella	https://vignette.wikia.nocookie.net/animalcrossing/images/3/3e/NH-Mushroom_umbrella.png/revision/latest?cb=20200329090952	3x flat mushroom	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,200
Orange dress	https://vignette.wikia.nocookie.net/animalcrossing/images/b/be/NH-Orange_dress.png/revision/latest?cb=20200329075643	8x orange	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,600
Orange hat	https://vignette.wikia.nocookie.net/animalcrossing/images/4/48/NH-Orange_hat.png/revision/latest?cb=20200329080704	5x orange	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,000
Orange umbrella	https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/NH-Orange_umbrella.png/revision/latest?cb=20200329075623	7x orange	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,400
Pansy crown	https://vignette.wikia.nocookie.net/animalcrossing/images/1/1e/NH-Pansy_crown.png/revision/latest?cb=20200325182057	2x red pansies2x yellow pansies2x white pansies	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	"Island resident
Message in a bottle"	480
Peach dress	https://vignette.wikia.nocookie.net/animalcrossing/images/7/73/NH-Peach_dress.png/revision/latest?cb=20200329075532	8x peach	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	1,600
Peach hat	https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/NH-Peach_hat.png/revision/latest?cb=20200329080716	5x peach	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	1,000
Peach umbrella	https://vignette.wikia.nocookie.net/animalcrossing/images/d/de/NH-Peach_umbrella.png/revision/latest?cb=20200329075517	7x peach	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,400
Pear dress	https://vignette.wikia.nocookie.net/animalcrossing/images/6/65/NH-pear_dress-diy-recipes.png/revision/latest?cb=20200328225830	8x pear	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	1,600
Pear hat	https://vignette.wikia.nocookie.net/animalcrossing/images/8/81/NH-Pear_hat.png/revision/latest?cb=20200329080732	5x pear	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,000
Pear umbrella	https://vignette.wikia.nocookie.net/animalcrossing/images/c/cb/NH-Pear_umbrella.png/revision/latest?cb=20200329075458	7x pear	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,400
Purple hyacinth crown	https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/NH-Hyacinth_crown_3.png/revision/latest?cb=20200329223453	6x purple hyacinths	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		2,880
Purple pansy crown	https://vignette.wikia.nocookie.net/animalcrossing/images/0/02/NH-Pansy_crown_3.png/revision/latest?cb=20200329223513	6x purple pansies	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	2,880
Purple windflower crown	https://vignette.wikia.nocookie.net/animalcrossing/images/0/04/NH-Windflower_crown_3.png/revision/latest?cb=20200329224325	6x purple windflowers	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		2,880
Recycled boots	https://vignette.wikia.nocookie.net/animalcrossing/images/2/2b/NH-Recycled_boots.png/revision/latest?cb=20200325182125	2x boot	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Fishing up a boot	40
Rose crown	https://vignette.wikia.nocookie.net/animalcrossing/images/c/ce/NH-Rose_crown.png/revision/latest?cb=20200325182140	2x red roses2x yellow roses2x white roses	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		480
Shellfish pochette	https://vignette.wikia.nocookie.net/animalcrossing/images/8/86/NH-Shell_pochette.png/revision/latest?cb=20200329223317	2x giant clam6x summer shell	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	10,800
Simple mum crown	https://vignette.wikia.nocookie.net/animalcrossing/images/3/33/NH-Mum_crown_3.png/revision/latest?cb=20200329223502	6x green mums	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		2,880
Sky-egg outfit	https://vignette.wikia.nocookie.net/animalcrossing/images/0/0c/NH-Sky-egg_outfit.png/revision/latest?cb=20200402000447	3x sky egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Shooting down sky eggs	1,200
Sky-egg shell	https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/NH-Sky-egg_shell.png/revision/latest?cb=20200401234727	2x sky egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Shooting down sky eggs	800
Sky-egg shoes	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c4/NH-Sky-egg_shoes.png/revision/latest?cb=20200401234755	2x sky egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Shooting down sky eggs	800
Snowflake pochette	https://vignette.wikia.nocookie.net/animalcrossing/images/c/c6/NH-Snowflake_pochette.png/revision/latest?cb=20200329223325	6x snowflake	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		2,400
Snowperson head	https://vignette.wikia.nocookie.net/animalcrossing/images/0/0b/NH-Snowman_hat.png/revision/latest?cb=20200329223333	1x large snowflake5x snowflake	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		7,000
Star head	https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-Star_hat.png/revision/latest?cb=20200329223341	5x star fragment	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		2,500
Star pochette	https://vignette.wikia.nocookie.net/animalcrossing/images/b/b1/NH-Star_pochette.png/revision/latest?cb=20200329223351	6x star fragment	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		3,000
Straw umbrella hat	https://vignette.wikia.nocookie.net/animalcrossing/images/f/f9/NH-Straw_umbrella_hat.png/revision/latest?cb=20200329073040	10x clump of weeds	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	"Island resident
Message in a bottle"	200
Stone-egg outfit	https://vignette.wikia.nocookie.net/animalcrossing/images/8/87/NH-Stone-egg_outfit.png/revision/latest?cb=20200401234845	3x stone egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Gather stone eggs by hitting rocks	1,200
Stone-egg shell	https://vignette.wikia.nocookie.net/animalcrossing/images/6/63/NH-Stone-egg_shell.png/revision/latest?cb=20200401234813	2x stone egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Gather stone eggs by hitting rocks	800
Stone-egg shoes	https://vignette.wikia.nocookie.net/animalcrossing/images/2/2b/NH-Stone-egg_shoes.png/revision/latest?cb=20200401234857	2x stone egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Gather stone eggs by hitting rocks	800
Traditional straw coat	https://vignette.wikia.nocookie.net/animalcrossing/images/5/53/NH-Traditional_straw_coat.png/revision/latest?cb=20200329062929	8x clump of weeds	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	160
Tulip crown	https://vignette.wikia.nocookie.net/animalcrossing/images/9/99/NH-Tulip_crown.png/revision/latest?cb=20200328032801	2x red tulips2x yellow tulips1x white tulips	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	400
Water-egg outfit	https://vignette.wikia.nocookie.net/animalcrossing/images/6/63/NH-Water-egg_outfit.png/revision/latest?cb=20200401235010	3x water egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Fishing up water Eggs	1,200
Water-egg shell	https://vignette.wikia.nocookie.net/animalcrossing/images/a/ad/NH-Water-egg_shell.png/revision/latest?cb=20200401234949	2x water egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Fishing up water Eggs	800
Water-egg shoes	https://vignette.wikia.nocookie.net/animalcrossing/images/a/ae/NH-Water-egg_shoes.png/revision/latest?cb=20200401235025	2x water egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Fishing up water Eggs	800
Windflower crown	https://vignette.wikia.nocookie.net/animalcrossing/images/3/34/NH-Windflower_crown.png/revision/latest?cb=20200329070453	2x red windflowers2x orange windflowers2x white windflowers	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	"Island resident
Message in a bottle"	480
Wood-egg outfit	https://vignette.wikia.nocookie.net/animalcrossing/images/5/55/NH-Wood-egg_outfit.png/revision/latest?cb=20200416023802	3x wood egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Gather wood eggs by hitting trees with an axe	1,200
Wood-egg shell	https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/NH-Wood-egg_shell.png/revision/latest?cb=20200401235056	2x wood egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Gather wood eggs by hitting trees with an axe	800
Wood-egg shoes	https://vignette.wikia.nocookie.net/animalcrossing/images/b/b8/NH-Wood-egg_shoes.png/revision/latest?cb=20200401235040	2x wood egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Gather wood eggs by hitting trees with an axe	800
