Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price	Recipe Item
Gold bars	https://vignette.wikia.nocookie.net/animalcrossing/images/4/42/NH-Gold_bars.png/revision/latest?cb=20200329093451	3x gold nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	30,000	NA
Golden candlestick	https://vignette.wikia.nocookie.net/animalcrossing/images/0/06/NH-Golden_candlestick.png/revision/latest?cb=20200329061620	2x gold nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		20,000	NA
Golden dishes	https://vignette.wikia.nocookie.net/animalcrossing/images/4/46/NH-Golden_dishes.png/revision/latest?cb=20200329093504	1x gold nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	10,000	NA
Golden dung beetle	https://vignette.wikia.nocookie.net/animalcrossing/images/5/56/NH-Golden_dung_beetle.png/revision/latest?cb=20200326074353	3x gold nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	30,000	NA
Hyacinth lamp	https://vignette.wikia.nocookie.net/animalcrossing/images/d/db/NH-Hyacinth_lamp.png/revision/latest?cb=20200329061654	5x purple hyacinths3x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	3,000	NA
Infused-water dispenser	https://vignette.wikia.nocookie.net/animalcrossing/images/8/89/NH-Infused-water_dispenser.png/revision/latest?cb=20200329102843	2x apple2x pear2x cherry2x orange2x peach	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		3,000	NA
Kettlebell	https://vignette.wikia.nocookie.net/animalcrossing/images/8/88/NH-Kettlebell.png/revision/latest?cb=20200329061737	5x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	"Island resident
Message in a bottle"	3,750	NA
Libra scale	https://vignette.wikia.nocookie.net/animalcrossing/images/c/cf/NH-Libra_scale.png/revision/latest?cb=20200328083916	3x star fragment2x Libra fragment2x gold nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Celeste	21,750	NA
Lucky gold cat	https://vignette.wikia.nocookie.net/animalcrossing/images/3/31/NH-Lucky_gold_cat.png/revision/latest?cb=20200328002458	3x gold nugget1x Lucky cat	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Balloon	21,675	NA
Magazine rack	https://vignette.wikia.nocookie.net/animalcrossing/images/2/21/NH-Magazine_rack.png/revision/latest?cb=20200329061812	2x magazine4x wood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	690	NA
Matryoshka	https://vignette.wikia.nocookie.net/animalcrossing/images/2/22/NH-Matryoshka.png/revision/latest?cb=20200325195344	5x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	600	NA
Modeling clay	https://vignette.wikia.nocookie.net/animalcrossing/images/8/8a/NH-Modeling_clay.png/revision/latest?cb=20200330005508	2x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		400	NA
Old-fashioned washtub	https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/NH-Old-fashioned_washtub.png/revision/latest?cb=20200325182049	3x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	DIY for Beginners	360	NA
Peach surprise box	https://vignette.wikia.nocookie.net/animalcrossing/images/0/07/NH-Peach_surprise_box.png/revision/latest?cb=20200326043912	10x peach4x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	"Message in a bottle
Tom Nook after receiving first three housing kits, if the native fruit is peaches"	2,480	NA
Pine bonsai tree	https://vignette.wikia.nocookie.net/animalcrossing/images/a/a1/NH-Pine_bonsai_tree.png/revision/latest?cb=20200329121910	8x pine cone5xclay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		4,200	NA
Pot	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d4/NH-Pot.png/revision/latest?cb=20200325182111	5x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Tom Nook after receiving first three housing kits	1,000	NA
Recycled-can thumb piano	https://vignette.wikia.nocookie.net/animalcrossing/images/f/ff/NH-Recycled-can_thumb_piano.png/revision/latest?cb=20200325182132	1x empty can1x wood1x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Fishing up cans	890	NA
Ringtoss	https://vignette.wikia.nocookie.net/animalcrossing/images/3/3f/NH-Ringtoss.png/revision/latest?cb=20200326052140	2x wood2x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Test Your DIY Skills	480	NA
Scorpio lamp	https://vignette.wikia.nocookie.net/animalcrossing/images/9/97/NH-Scorpio_lamp.png/revision/latest?cb=20200328084250	3x star fragment2x Scorpius fragment2x gold nugget5x stone	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Celeste	22,125	NA
Shell lamp	https://vignette.wikia.nocookie.net/animalcrossing/images/9/9d/NH-Shell_lamp.png/revision/latest?cb=20200329070038	2x giant clam3x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island Resident	4,200	NA
Shell speaker	https://vignette.wikia.nocookie.net/animalcrossing/images/2/29/NH-Shell_speaker.png/revision/latest?cb=20200325182202	3x conch2x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island Resident	5,700	NA
Stack of books	https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/Stack_of_books.png/revision/latest?cb=20200329121923	5x book	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	725	NA
Stacked magazines	https://vignette.wikia.nocookie.net/animalcrossing/images/e/ed/Stacked_magazines.png/revision/latest?cb=20200329121937	6x magazine	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	630	NA
Steamer-basket set	https://vignette.wikia.nocookie.net/animalcrossing/images/6/63/NH-Steamer-basket_set.png/revision/latest?cb=20200325182257	6x young spring bamboo	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Balloon	2,400	NA
Succulent plant	https://vignette.wikia.nocookie.net/animalcrossing/images/a/a5/NH-Succulent_plant.png/revision/latest?cb=20200325182335	10x clump of weeds1x empty can	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Fishing up an empty can	220	NA
Tabletop festive tree	https://vignette.wikia.nocookie.net/animalcrossing/images/1/1a/NH-Tabletop_festive_tree.png/revision/latest?cb=20200329085143	5x gold ornament3x tree branch2xclay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		930	NA
Terrarium	https://vignette.wikia.nocookie.net/animalcrossing/images/9/9d/NH-Terrarium.png/revision/latest?cb=20200327063910	12x clump of weeds2x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	"Island resident
Message in a bottle"	1,740	NA
Traditional balancing toy	https://vignette.wikia.nocookie.net/animalcrossing/images/5/53/NH-Traditional_balancing_toy.png/revision/latest?cb=20200402111733	4x acorn2x hardwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		1,840	NA
Trash bags	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7e/NH-Trash_bags.png/revision/latest?cb=20200325182406	1x empty can1x boot1x old tire	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Fishing up trash	60	NA
Tree's bounty lamp	https://vignette.wikia.nocookie.net/animalcrossing/images/8/85/NH-Tree%27s_bounty_lamp.png/revision/latest?cb=20200329100236	6x acorn4x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		3,200	NA
Tulip surprise box	https://vignette.wikia.nocookie.net/animalcrossing/images/7/79/NH-Tulip_surprise_box.png/revision/latest?cb=20200329100548	5x red tulips3x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	760	NA
Ukulele	https://vignette.wikia.nocookie.net/animalcrossing/images/7/7c/NH-Ukulele.png/revision/latest?cb=20200329103235	5x hardwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Island resident	600	NA
Unglazed dish set	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/NH-Unglazed_dish_set.png/revision/latest?cb=20200326063603	3x clay	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	600	NA
Windflower fan	https://vignette.wikia.nocookie.net/animalcrossing/images/6/6d/NH-Windflower_fan.png/revision/latest?cb=20200329100322	3x red windflowers2x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	1,740	NA
Wobbling Zipper toy	https://vignette.wikia.nocookie.net/animalcrossing/images/0/02/NH-Wobbling_Zipper_toy.png/revision/latest?cb=20200412143123	4x earth egg4x stone egg4x leaf egg4x wood egg4x sky egg4x water egg	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Bunny Day	9,600	NA
Wooden-block toy	https://vignette.wikia.nocookie.net/animalcrossing/images/b/b2/NH-Wooden-block_toy.png/revision/latest?cb=20200325182518	3x softwood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412		360	NA
Wooden fish	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d3/NH-Wooden_fish.png/revision/latest?cb=20200325182436	3x wood	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Wildest Dreams DIY	360	NA
Wooden table mirror	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d5/NH-Wooden_table_mirror.png/revision/latest?cb=20200326062645	3x wood1x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Given when Tom Nook gives you your first recipes	1,110	NA
Wooden toolbox	https://vignette.wikia.nocookie.net/animalcrossing/images/5/50/NH-Wooden_toolbox.png/revision/latest?cb=20200327102526	4x softwood2x iron nugget	https://vignette.wikia.nocookie.net/animalcrossing/images/d/d7/NH1.0x1.0sq.jpg/revision/latest?cb=20200324214412	Message in a bottle	1,980	NA
