Material	Image	Obtained From	Item Sell Price
Bamboo piece	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/5c/NH_Bamboopiece.png/revision/latest/scale-to-width-down/100?cb=20200326193925"" 	 alt=""NH Bamboopiece""  	class=""thumbimage "" 	 	data-image-key=""NH_Bamboopiece.png"" 	data-image-name=""NH Bamboopiece.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	Use axe on bamboo	"80 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Young spring bamboo	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e5/NH-Young_spring_bamboo.png/revision/latest/scale-to-width-down/100?cb=20200326193947"" 	 alt=""NH-Young spring bamboo""  	class=""thumbimage "" 	 	data-image-key=""NH-Young_spring_bamboo.png"" 	data-image-name=""NH-Young spring bamboo.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	Use axe on bamboo	"200 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Bamboo shoot	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/bd/Bamboo_on_the_ground.jpg/revision/latest/scale-to-width-down/100?cb=20150814213508"" 	 alt=""Bamboo on the ground""  	class=""thumbimage "" 	 	data-image-key=""Bamboo_on_the_ground.jpg"" 	data-image-name=""Bamboo on the ground.jpg"" 	 	 width=""100""  	 height=""50""  	 	 	 	>"	Digging near bamboo	"250 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Clump of weeds	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/62/NH_Weed.png/revision/latest/scale-to-width-down/100?cb=20200326194017"" 	 alt=""NH Weed""  	class=""thumbimage "" 	 	data-image-key=""NH_Weed.png"" 	data-image-name=""NH Weed.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	Pulling off of ground	"10 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Misc. Flowers	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/All_Flowers.JPG/revision/latest/scale-to-width-down/100?cb=20130616171155"" 	 alt=""All Flowers""  	class=""thumbimage "" 	 	data-image-key=""All_Flowers.JPG"" 	data-image-name=""All Flowers.JPG"" 	 	 width=""100""  	 height=""60""  	 	 	 	>"	Pulling off of ground	
Misc. Fruit	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/dd/NH-Fruit-cherry.png/revision/latest/scale-to-width-down/100?cb=20200327062700"" 	 alt=""NH-Fruit-cherry""  	class=""thumbimage "" 	 	data-image-key=""NH-Fruit-cherry.png"" 	data-image-name=""NH-Fruit-cherry.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	Shaking treesPurchasing	"100 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>(native fruit)250 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>(coconuts)500 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>(foreign fruit)"
Wasp nest	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/49/NH-Wasp_nest.png/revision/latest/scale-to-width-down/100?cb=20200326194037"" 	 alt=""NH-Wasp nest""  	class=""thumbimage "" 	 	data-image-key=""NH-Wasp_nest.png"" 	data-image-name=""NH-Wasp nest.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	Shaking trees	"300 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Misc. Trash	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/7c/NH-Old_tire.png/revision/latest?cb=20200324081851"" 	 alt=""NH-Old tire""  	class=""thumbimage "" 	 	data-image-key=""NH-Old_tire.png"" 	data-image-name=""NH-Old tire.png"" 	 	 width=""66""  	 height=""73""  	 	 	 	>"	Fishing	"10 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Misc. Clothing	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/Shirt_%28New_Leaf_icon%29.PNG/revision/latest?cb=20140916214253"" 	 alt=""Shirt (New Leaf icon)""  	class=""thumbimage "" 	 	data-image-key=""Shirt_%28New_Leaf_icon%29.PNG"" 	data-image-name=""Shirt (New Leaf icon).PNG"" 	 	 width=""32""  	 height=""32""  	 	 	 	>"	CraftingShaking treesPopping balloonsPurchasing	Variable
Misc. Furniture	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/12/NH-Furniture-icon.png/revision/latest?cb=20200324081831"" 	 alt=""NH-Furniture-icon""  	class=""thumbimage "" 	 	data-image-key=""NH-Furniture-icon.png"" 	data-image-name=""NH-Furniture-icon.png"" 	 	 width=""44""  	 height=""42""  	 	 	 	>"	CraftingShaking treesPopping balloonsPurchasing	Variable
Misc. Tools	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f8/NH-Axe.png/revision/latest/scale-to-width-down/100?cb=20200325181451"" 	 alt=""NH-Axe""  	class=""thumbimage "" 	 	data-image-key=""NH-Axe.png"" 	data-image-name=""NH-Axe.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	CraftingPurchasing	Variable
Fossil	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/22/NH-Fossil_item.png/revision/latest/scale-to-width-down/100?cb=20200326234113"" 	 alt=""NH-Fossil item""  	class=""thumbimage "" 	 	data-image-key=""NH-Fossil_item.png"" 	data-image-name=""NH-Fossil item.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	Digging with Shovel	"100 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>(unassessed)Variable(assessed)"
Star fragment	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/96/NH-Star_fragment.png/revision/latest/scale-to-width-down/100?cb=20200326194818"" 	 alt=""NH-Star fragment""  	class=""thumbimage "" 	 	data-image-key=""NH-Star_fragment.png"" 	data-image-name=""NH-Star fragment.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	On beach the day after wishing on a star	"250 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Large star fragment	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/9e/NH-Large_star_fragment.png/revision/latest/scale-to-width-down/100?cb=20200326194837"" 	 alt=""NH-Large star fragment""  	class=""thumbimage "" 	 	data-image-key=""NH-Large_star_fragment.png"" 	data-image-name=""NH-Large star fragment.png"" 	 	 width=""100""  	 height=""100""  	 	 	 	>"	On beach the day after wishing on a star	"2,500 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Misc. Shells	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/38/Conch.jpg/revision/latest?cb=20100629003733"" 	 alt=""Conch""  	class=""thumbimage "" 	 	data-image-key=""Conch.jpg"" 	data-image-name=""Conch.jpg"" 	 	 width=""92""  	 height=""82""  	 	 	 	>"	On beach	"60-900 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
Manila Clam	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/70/NH-Material_Manila_Clam.png/revision/latest?cb=20200404200723"" 	 alt=""NH-Material Manila Clam""  	class=""thumbimage "" 	 	data-image-key=""NH-Material_Manila_Clam.png"" 	data-image-name=""NH-Material Manila Clam.png"" 	 	 width=""73""  	 height=""58""  	 	 	 	>"	Digging on beaches where water is shooting out of sand	"60 <img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/BellCoin.png/revision/latest/scale-to-width-down/15?cb=20171101043952"" 	 alt=""BellCoin""  	class="""" 	 	data-image-key=""BellCoin.png"" 	data-image-name=""BellCoin.png"" 	 	 width=""15""  	 height=""15""  	 	 	 	>"
