Name	Image	Price	Location	Shadow size	Time	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Crawfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e2/Crawfish_HHD_Icon.png/revision/latest?cb=20161105194621"" 	 alt=""Crawfish HHD Icon""  	class="""" 	 	data-image-key=""Crawfish_HHD_Icon.png"" 	data-image-name=""Crawfish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	200	Pond	2	All day	-	-	-	✓	✓	✓	✓	✓	✓	-	-	-
Soft-shelled turtle	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a1/Soft-Shelled_Turtle_HHD_Icon.png/revision/latest?cb=20161105204721"" 	 alt=""Soft-Shelled Turtle HHD Icon""  	class="""" 	 	data-image-key=""Soft-Shelled_Turtle_HHD_Icon.png"" 	data-image-name=""Soft-Shelled Turtle HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	3750	River	4	4 PM - 9 AM	-	-	-	-	-	-	-	✓	✓	-	-	-
Snapping Turtle	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b1/Snapping_Turtle_NH_Icon.png/revision/latest?cb=20200323203213"" 	 alt=""Snapping Turtle NH Icon""  	class="""" 	 	data-image-key=""Snapping_Turtle_NH_Icon.png"" 	data-image-name=""Snapping Turtle NH Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	5000	River	5	9 PM - 4 AM	-	-	-	✓	✓	✓	✓	✓	✓	✓	-	-
Tadpole	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/Tadpole_HHD_Icon.png/revision/latest?cb=20161105205146"" 	 alt=""Tadpole HHD Icon""  	class="""" 	 	data-image-key=""Tadpole_HHD_Icon.png"" 	data-image-name=""Tadpole HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	100	Pond	1	All day	-	-	✓	✓	✓	✓	✓	-	-	-	-	-
Frog	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/8f/Frog_HHD_Icon.png/revision/latest?cb=20161105195429"" 	 alt=""Frog HHD Icon""  	class="""" 	 	data-image-key=""Frog_HHD_Icon.png"" 	data-image-name=""Frog HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	120	Pond	2	All day	-	-	-	-	✓	✓	✓	✓	-	-	-	-
Freshwater goby	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/19/Freshwater_Goby_HHD_Icon.png/revision/latest?cb=20161105195428"" 	 alt=""Freshwater Goby HHD Icon""  	class="""" 	 	data-image-key=""Freshwater_Goby_HHD_Icon.png"" 	data-image-name=""Freshwater Goby HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	400	River	2	4 PM - 9 AM	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Loach	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2b/Loach_HHD_Icon.png/revision/latest?cb=20161105201526"" 	 alt=""Loach HHD Icon""  	class="""" 	 	data-image-key=""Loach_HHD_Icon.png"" 	data-image-name=""Loach HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	400	River	2	All day	-	-	✓	✓	✓	-	-	-	-	-	-	-
Catfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/41/Catfish_HHD_Icon.png/revision/latest?cb=20161105194321"" 	 alt=""Catfish HHD Icon""  	class="""" 	 	data-image-key=""Catfish_HHD_Icon.png"" 	data-image-name=""Catfish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	800	Pond	4	4 PM - 9 AM	-	-	-	-	✓	✓	✓	✓	✓	✓	-	-
Giant snakehead	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4f/Giant_Snakehead_HHD_Icon.png/revision/latest?cb=20161105195626"" 	 alt=""Giant Snakehead HHD Icon""  	class="""" 	 	data-image-key=""Giant_Snakehead_HHD_Icon.png"" 	data-image-name=""Giant Snakehead HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	5500	Pond	5	9 AM - 4 PM	-	-	-	-	-	✓	✓	✓	-	-	-	-
Bluegill	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/Bluegill_HHD_Icon.png/revision/latest?cb=20161105193653"" 	 alt=""Bluegill HHD Icon""  	class="""" 	 	data-image-key=""Bluegill_HHD_Icon.png"" 	data-image-name=""Bluegill HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	180	River	2	9 AM - 4 PM	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Yellow perch	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f0/Yellow_Perch_HHD_Icon.png/revision/latest?cb=20161105205721"" 	 alt=""Yellow Perch HHD Icon""  	class="""" 	 	data-image-key=""Yellow_Perch_HHD_Icon.png"" 	data-image-name=""Yellow Perch HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	300	River	3	All day	✓	✓	✓	-	-	-	-	-	-	✓	✓	✓
Black bass	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/Black_Bass_HHD_Icon.png/revision/latest?cb=20161105193601"" 	 alt=""Black Bass HHD Icon""  	class="""" 	 	data-image-key=""Black_Bass_HHD_Icon.png"" 	data-image-name=""Black Bass HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	400	River	4	All day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Tilapia	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/ef/Tilapia_NH_Icon.png/revision/latest?cb=20200323203246"" 	 alt=""Tilapia NH Icon""  	class="""" 	 	data-image-key=""Tilapia_NH_Icon.png"" 	data-image-name=""Tilapia NH Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	800	River	3	All day	-	-	-	-	-	✓	✓	✓	✓	✓	-	-
Pike	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ab/Pike_HHD_Icon.png/revision/latest?cb=20161105203053"" 	 alt=""Pike HHD Icon""  	class="""" 	 	data-image-key=""Pike_HHD_Icon.png"" 	data-image-name=""Pike HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	1800	River	5	All day	-	-	-	-	-	-	-	-	✓	✓	✓	✓
Pond smelt	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/cf/Pond_Smelt_HHD_Icon.png/revision/latest?cb=20161105203259"" 	 alt=""Pond Smelt HHD Icon""  	class="""" 	 	data-image-key=""Pond_Smelt_HHD_Icon.png"" 	data-image-name=""Pond Smelt HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	500	River	2	All day	✓	✓	-	-	-	-	-	-	-	-	-	✓
Sweetfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/5a/Sweetfish_HHD_Icon.png/revision/latest?cb=20161105205104"" 	 alt=""Sweetfish HHD Icon""  	class="""" 	 	data-image-key=""Sweetfish_HHD_Icon.png"" 	data-image-name=""Sweetfish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	900	River	3	All day	-	-	-	-	-	-	✓	✓	✓	-	-	-
Cherry salmon	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/05/Cherry_Salmon_HHD_Icon.png/revision/latest?cb=20161105194343"" 	 alt=""Cherry Salmon HHD Icon""  	class="""" 	 	data-image-key=""Cherry_Salmon_HHD_Icon.png"" 	data-image-name=""Cherry Salmon HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	1000	River (Clifftop)  Pond	3	4 PM - 9 AM	-	-	✓	✓	✓	✓	-	-	✓	✓	✓	-
Char	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2c/Char_HHD_Icon.png/revision/latest?cb=20161105194339"" 	 alt=""Char HHD Icon""  	class="""" 	 	data-image-key=""Char_HHD_Icon.png"" 	data-image-name=""Char HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	3800	River (Clifftop)  Pond	3	4 PM - 9 AM	-	-	✓	✓	✓	✓	-	-	✓	✓	✓	-
Golden trout	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fc/Golden_Trout_NH_Icon.png/revision/latest?cb=20200323203039"" 	 alt=""Golden Trout NH Icon""  	class="""" 	 	data-image-key=""Golden_Trout_NH_Icon.png"" 	data-image-name=""Golden Trout NH Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	15000	River (Clifftop)	3	4 PM - 9 AM	-	-	✓	✓	✓	-	-	-	✓	✓	✓	-
Stringfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/53/Stringfish_HHD_Icon.png/revision/latest?cb=20161105204949"" 	 alt=""Stringfish HHD Icon""  	class="""" 	 	data-image-key=""Stringfish_HHD_Icon.png"" 	data-image-name=""Stringfish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	15000	River (Clifftop)	5	4 PM - 9 AM	✓	✓	✓	-	-	-	-	-	-	-	-	✓
Salmon	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/77/Salmon_HHD_Icon.png/revision/latest?cb=20161105204055"" 	 alt=""Salmon HHD Icon""  	class="""" 	 	data-image-key=""Salmon_HHD_Icon.png"" 	data-image-name=""Salmon HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	700	River (Mouth)	4	All day	-	-	-	-	-	-	-	-	✓	-	-	-
King salmon	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/92/King_Salmon_HHD_Icon.png/revision/latest?cb=20161105201206"" 	 alt=""King Salmon HHD Icon""  	class="""" 	 	data-image-key=""King_Salmon_HHD_Icon.png"" 	data-image-name=""King Salmon HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	1800	River (Mouth)	6	All day	-	-	-	-	-	-	-	-	✓	-	-	-
Mitten crab	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/59/Mitten_Crab_HHD_Icon.png/revision/latest?cb=20161105202117"" 	 alt=""Mitten Crab HHD Icon""  	class="""" 	 	data-image-key=""Mitten_Crab_HHD_Icon.png"" 	data-image-name=""Mitten Crab HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	2000	River	2	4 PM - 9 AM	-	-	-	-	-	-	-	-	✓	✓	✓	-
Guppy	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/34/Guppy_HHD_Icon.png/revision/latest?cb=20161105200652"" 	 alt=""Guppy HHD Icon""  	class="""" 	 	data-image-key=""Guppy_HHD_Icon.png"" 	data-image-name=""Guppy HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	1300	River	1	9 AM - 4 PM	-	-	-	✓	✓	✓	✓	✓	✓	✓	✓	-
Nibble fish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e2/Nibble_Fish_HHD_Icon.png/revision/latest?cb=20161105202635"" 	 alt=""Nibble Fish HHD Icon""  	class="""" 	 	data-image-key=""Nibble_Fish_HHD_Icon.png"" 	data-image-name=""Nibble Fish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	1500	River	2	9 AM - 4 PM	-	-	-	-	✓	✓	✓	✓	✓	-	-	-
Angelfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/40/Angelfish_HHD_Icon.png/revision/latest?cb=20161105192032"" 	 alt=""Angelfish HHD Icon""  	class="""" 	 	data-image-key=""Angelfish_HHD_Icon.png"" 	data-image-name=""Angelfish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	3000	River	2	4 PM - 9 AM	-	-	-	-	✓	✓	✓	✓	✓	✓	-	-
Betta	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0b/Betta_NH_Icon.png/revision/latest?cb=20200323203027"" 	 alt=""Betta NH Icon""  	class="""" 	 	data-image-key=""Betta_NH_Icon.png"" 	data-image-name=""Betta NH Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	2500	River	2	9 AM - 4 PM	-	-	-	-	✓	✓	✓	✓	✓	✓	-	-
Neon tetra	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/37/Neon_Tetra_HHD_Icon.png/revision/latest?cb=20161105202609"" 	 alt=""Neon Tetra HHD Icon""  	class="""" 	 	data-image-key=""Neon_Tetra_HHD_Icon.png"" 	data-image-name=""Neon Tetra HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	500	River	1	9 AM - 4 PM	-	-	-	✓	✓	✓	✓	✓	✓	✓	✓	-
Rainbowfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/Rainbowfish_NH_Icon.png/revision/latest?cb=20200323203143"" 	 alt=""Rainbowfish NH Icon""  	class="""" 	 	data-image-key=""Rainbowfish_NH_Icon.png"" 	data-image-name=""Rainbowfish NH Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	800	River	1	9 AM - 4 PM	-	-	-	-	✓	✓	✓	✓	✓	✓	-	-
Piranha	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/54/Piranha_HHD_Icon.png/revision/latest?cb=20161105203149"" 	 alt=""Piranha HHD Icon""  	class="""" 	 	data-image-key=""Piranha_HHD_Icon.png"" 	data-image-name=""Piranha HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	2500	River	2	9 AM - 4 PM & 9 PM - 4 AM	-	-	-	-	-	✓	✓	✓	✓	-	-	-
Arowana	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/be/Arowana_HHD_Icon.png/revision/latest?cb=20161105192205"" 	 alt=""Arowana HHD Icon""  	class="""" 	 	data-image-key=""Arowana_HHD_Icon.png"" 	data-image-name=""Arowana HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	10000	River	4	4 PM - 9 AM	-	-	-	-	-	✓	✓	✓	✓	-	-	-
Dorado	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/ff/Dorado_HHD_Icon.png/revision/latest?cb=20161105194823"" 	 alt=""Dorado HHD Icon""  	class="""" 	 	data-image-key=""Dorado_HHD_Icon.png"" 	data-image-name=""Dorado HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	15000	River	5	4 AM - 9 PM	-	-	-	-	-	✓	✓	✓	✓	-	-	-
Gar	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/54/Gar_HHD_Icon.png/revision/latest?cb=20161105195557"" 	 alt=""Gar HHD Icon""  	class="""" 	 	data-image-key=""Gar_HHD_Icon.png"" 	data-image-name=""Gar HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	6000	Pond	6	4 PM - 9 AM	-	-	-	-	-	✓	✓	✓	✓	-	-	-
Arapaima	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/79/Arapaima_HHD_Icon.png/revision/latest?cb=20161105192118"" 	 alt=""Arapaima HHD Icon""  	class="""" 	 	data-image-key=""Arapaima_HHD_Icon.png"" 	data-image-name=""Arapaima HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	10000	River	6	4 PM - 9 AM	-	-	-	-	-	✓	✓	✓	✓	-	-	-
Saddled bichir	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b7/Saddled_Bichir_HHD_Icon.png/revision/latest?cb=20161105204041"" 	 alt=""Saddled Bichir HHD Icon""  	class="""" 	 	data-image-key=""Saddled_Bichir_HHD_Icon.png"" 	data-image-name=""Saddled Bichir HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	4000	River	4	9 PM - 4 AM	-	-	-	-	-	✓	✓	✓	✓	-	-	-
Sturgeon	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/2f/Sturgeon_HHD_Icon.png/revision/latest?cb=20200322055944"" 	 alt=""Sturgeon HHD Icon""  	class="""" 	 	data-image-key=""Sturgeon_HHD_Icon.png"" 	data-image-name=""Sturgeon HHD Icon.png"" 	 	 width=""108""  	 height=""110""  	 	 	 	>"	10000	River (Mouth)	6	All day	✓	✓	✓	-	-	-	-	-	✓	✓	✓	✓
Sea butterfly	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d6/Sea_Butterfly_HHD_Icon.png/revision/latest?cb=20161105204224"" 	 alt=""Sea Butterfly HHD Icon""  	class="""" 	 	data-image-key=""Sea_Butterfly_HHD_Icon.png"" 	data-image-name=""Sea Butterfly HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	1000	Sea	1	All day	✓	✓	✓	-	-	-	-	-	-	-	-	✓
Sea horse	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d2/Seahorse_%28New_Leaf_icon%29.PNG/revision/latest?cb=20140916225855"" 	 alt=""Seahorse (New Leaf icon)""  	class="""" 	 	data-image-key=""Seahorse_%28New_Leaf_icon%29.PNG"" 	data-image-name=""Seahorse (New Leaf icon).PNG"" 	 	 width=""32""  	 height=""32""  	 	 	 	>"	1100	Sea	1	All day	-	-	-	✓	✓	✓	✓	✓	✓	✓	✓	-
Clown fish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/98/Clownfish_HHD_Icon.png/revision/latest?cb=20161105194432"" 	 alt=""Clownfish HHD Icon""  	class="""" 	 	data-image-key=""Clownfish_HHD_Icon.png"" 	data-image-name=""Clownfish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	650	Sea	1	All day	-	-	-	✓	✓	✓	✓	✓	✓	-	-	-
Surgeonfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/Surgeonfish_HHD_Icon.png/revision/latest?cb=20161105205054"" 	 alt=""Surgeonfish HHD Icon""  	class="""" 	 	data-image-key=""Surgeonfish_HHD_Icon.png"" 	data-image-name=""Surgeonfish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	1000	Sea	2	All day	-	-	-	✓	✓	✓	✓	✓	✓	-	-	-
Butterfly fish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/75/Butterfly_Fish_%28New_Leaf_icon%29.PNG/revision/latest?cb=20140916225847"" 	 alt=""Butterfly Fish (New Leaf icon)""  	class="""" 	 	data-image-key=""Butterfly_Fish_%28New_Leaf_icon%29.PNG"" 	data-image-name=""Butterfly Fish (New Leaf icon).PNG"" 	 	 width=""32""  	 height=""32""  	 	 	 	>"	1000	Sea	2	All day	-	-	-	✓	✓	✓	✓	✓	✓	-	-	-
Napoleonfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d0/Napoleonfish_HHD_Icon.png/revision/latest?cb=20161105202558"" 	 alt=""Napoleonfish HHD Icon""  	class="""" 	 	data-image-key=""Napoleonfish_HHD_Icon.png"" 	data-image-name=""Napoleonfish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	10000	Sea	6	4 AM - 9 PM	-	-	-	-	-	-	✓	✓	-	-	-	-
Zebra turkeyfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/3d/Zebra_Turkeyfish_HHD_Icon.png/revision/latest?cb=20161105205734"" 	 alt=""Zebra Turkeyfish HHD Icon""  	class="""" 	 	data-image-key=""Zebra_Turkeyfish_HHD_Icon.png"" 	data-image-name=""Zebra Turkeyfish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	500	Sea	3	All day	-	-	-	✓	✓	✓	✓	✓	✓	✓	✓	-
Blowfish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/63/Blowfish_HHD_Icon.png/revision/latest?cb=20161105193618"" 	 alt=""Blowfish HHD Icon""  	class="""" 	 	data-image-key=""Blowfish_HHD_Icon.png"" 	data-image-name=""Blowfish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	5000	Sea	3	6 PM - 4 AM	✓	✓	-	-	-	-	-	-	-	-	✓	✓
Puffer fish	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e0/Puffer_Fish_HHD_Icon.png/revision/latest?cb=20161105203430"" 	 alt=""Puffer Fish HHD Icon""  	class="""" 	 	data-image-key=""Puffer_Fish_HHD_Icon.png"" 	data-image-name=""Puffer Fish HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	250	Sea	3	All day	-	-	-	-	-	-	✓	✓	✓	-	-	-
Anchovy	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/62/Anchovy_NH_Icon.png/revision/latest?cb=20200323202959"" 	 alt=""Anchovy NH Icon""  	class="""" 	 	data-image-key=""Anchovy_NH_Icon.png"" 	data-image-name=""Anchovy NH Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	200	Sea	2	4 AM - 9 PM	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Horse mackerel	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/1d/Horse_Mackerel_HHD_Icon.png/revision/latest?cb=20161105200827"" 	 alt=""Horse Mackerel HHD Icon""  	class="""" 	 	data-image-key=""Horse_Mackerel_HHD_Icon.png"" 	data-image-name=""Horse Mackerel HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	150	Sea	2	All day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
Barred knifejaw	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/Barred_Knifejaw_HHD_Icon.png/revision/latest?cb=20161105193452"" 	 alt=""Barred Knifejaw HHD Icon""  	class="""" 	 	data-image-key=""Barred_Knifejaw_HHD_Icon.png"" 	data-image-name=""Barred Knifejaw HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	5000	Sea	3	All day	-	-	✓	✓	✓	✓	✓	✓	✓	✓	✓	-
Sea bass	"<img src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c2/Sea_Bass_HHD_Icon.png/revision/latest?cb=20161105204221"" 	 alt=""Sea Bass HHD Icon""  	class="""" 	 	data-image-key=""Sea_Bass_HHD_Icon.png"" 	data-image-name=""Sea Bass HHD Icon.png"" 	 	 width=""64""  	 height=""64""  	 	 	 	>"	400	Sea	5	All day	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓	✓
