Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price
Mum crown	NA	2x red mums2x yellow mums2x white mums	NA	Island resident	480
Mush umbrella	NA	3x flat mushroom	NA		1,200
Orange dress	NA	8x orange	NA		1,600
Orange hat	NA	5x orange	NA		1,000
Orange umbrella	NA	7x orange	NA		1,400
Pansy crown	NA	2x red pansies2x yellow pansies2x white pansies	NA	"Island resident
Message in a bottle"	480
Peach dress	NA	8x peach	NA	Message in a bottle	1,600
Peach hat	NA	5x peach	NA	Message in a bottle	1,000
Peach umbrella	NA	7x peach	NA		1,400
Pear dress	NA	8x pear	NA	Message in a bottle	1,600
Pear hat	NA	5x pear	NA		1,000
Pear umbrella	NA	7x pear	NA		1,400
Purple hyacinth crown	NA	6x purple hyacinths	NA		2,880
Purple pansy crown	NA	6x purple pansies	NA	Island resident	2,880
Purple windflower crown	NA	6x purple windflowers	NA		2,880
Recycled boots	NA	2x boot	NA	Fishing up a boot	40
Rose crown	NA	2x red roses2x yellow roses2x white roses	NA		480
Shellfish pochette	NA	2x giant clam6x summer shell	NA	Message in a bottle	10,800
Simple mum crown	NA	6x green mums	NA		2,880
Sky-egg outfit	NA	3x sky egg	NA	Shooting down sky eggs	1,200
Sky-egg shell	NA	2x sky egg	NA	Shooting down sky eggs	800
Sky-egg shoes	NA	2x sky egg	NA	Shooting down sky eggs	800
Snowflake pochette	NA	6x snowflake	NA		2,400
Snowperson head	NA	1x large snowflake5x snowflake	NA		7,000
Star head	NA	5x star fragment	NA		2,500
Star pochette	NA	6x star fragment	NA		3,000
Straw umbrella hat	NA	10x clump of weeds	NA	"Island resident
Message in a bottle"	200
Stone-egg outfit	NA	3x stone egg	NA	Gather stone eggs by hitting rocks	1,200
Stone-egg shell	NA	2x stone egg	NA	Gather stone eggs by hitting rocks	800
Stone-egg shoes	NA	2x stone egg	NA	Gather stone eggs by hitting rocks	800
Traditional straw coat	NA	8x clump of weeds	NA	Message in a bottle	160
Tulip crown	NA	2x red tulips2x yellow tulips1x white tulips	NA	Message in a bottle	400
Water-egg outfit	NA	3x water egg	NA	Fishing up water Eggs	1,200
Water-egg shell	NA	2x water egg	NA	Fishing up water Eggs	800
Water-egg shoes	NA	2x water egg	NA	Fishing up water Eggs	800
Windflower crown	NA	2x red windflowers2x orange windflowers2x white windflowers	NA	"Island resident
Message in a bottle"	480
Wood-egg outfit	NA	3x wood egg	NA	Gather wood eggs by hitting trees with an axe	1,200
Wood-egg shell	NA	2x wood egg	NA	Gather wood eggs by hitting trees with an axe	800
Wood-egg shoes	NA	2x wood egg	NA	Gather wood eggs by hitting trees with an axe	800
