Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price	Recipe Item
Bunny Day bed	NA	1x earth egg1x stone egg1x leaf egg1x wood egg1x sky egg1x water egg	NA	Bunny Day	2,400	
Bunny Day festive balloons	NA	1x stone egg1x wood egg1x water egg	NA	Bunny Day	1,200	
Bunny Day merry balloons	NA	1x earth egg1x leaf egg1x sky egg	NA	Bunny Day	1,200	
Bunny Day stool	NA	3x water egg	NA	Bunny Day	1,200	
Bunny Day table	NA	4x earth egg	NA	Bunny Day	1,600	
Bunny Day vanity	NA	4x leaf egg	NA	Bunny Day	1,600	
Bunny Day wardrobe	NA	​​​​​4x ​​stone egg	NA	Bunny Day	1,600	
Butter churn	NA	4x wood2x iron nugget	NA	Message in a bottle	1,980	
Campfire	NA	3x tree branch	NA	Tom Nook (first DIY workshop)	30	✓
Cancer table	NA	3x star fragment2x Cancer fragment2x gold nugget3x stone	NA	Celeste	21,975	
Capricorn ornament	NA	3x star fragment2x Capricornus fragment2x gold nugget12x stone	NA	Celeste	22,650	
Cardboard bed	NA	4x cardboard box	NA	Message in a bottle	240	
Cardboard chair	NA	1x cardboard box	NA		60	
Cardboard sofa	NA	2x cardboard box	NA	Message in a bottle	120	
Cardboard table	NA	4x cardboard box	NA		240	
Cherry-blossom branches	NA	8x cherry-blossom petal4x tree branch5x clay	NA	Balloon	4,240	
Cherry-blossom-petal pile	NA	5x cherry-blossom petal	NA	Balloon	2,000	
Cherry-blossom pond stone	NA	10x stone3x cherry-blossom petal	NA	Balloon	2,700	
Clackercart	NA	2x hardwood6x softwood	NA	Island resident	960	
Clothesline	NA	10x tree branch	NA	Tom Nook after receiving first three housing kits	100	
Cosmos shower	NA	5x pink cosmos3x iron nugget	NA		3,050	
Crescent-moon chair	NA	7x star fragment1x large star fragment	NA		8,500	
Crewed spaceship	NA	10x star fragment20x iron nugget	NA		20,000	
Deer scare	NA	3x bamboo piece8x stone3x clump of weeds	NA	Balloon	1,740	
Destinations signpost	NA	4x hardwood8x softwood	NA	Nook Stop (1,500 Nook Miles)	1,440	
DIY workbench	NA	5x wood5x hardwood5x softwood3x iron nugget1x mini DIY workbench	NA	Island resident	6,630	
Doghouse	NA	10x wood7x hardwood	NA	Island resident	2,040	
Drinking fountain	NA	8x stone2x iron nugget	NA	Nook Stop (800 Nook Miles)	2,700	✓
Festive tree	NA	3 red ornament3 blue ornament2 gold ornament5 wood	NA		1,400	
Flat garden rock	NA	20x stone	NA	Message in a bottle	3,000	
Flower stand	NA	1x red roses2x pink roses2x orange roses2x white lilies1x yellow lilies4x purple windflowers	NA	Island resident	2,880	
Flying saucer	NA	15x star fragment10x iron nugget	NA	Celeste	15,000	
Fountain	NA	1x drinking fountain20x stone8x iron nugget	NA	Nook Stop (3,000 Nook Miles)	11,700	
Frozen arch	NA	1x large snowflake10x snowflake	NA		9,000	
Frozen bed	NA	1x large snowflake10x snowflake	NA		9,000	
Frozen chair	NA	1x large snowflake3x snowflake	NA		6,200	
Frozen counter	NA	1x large snowflake5x snowflake	NA		7,000	
Frozen partition	NA	1x large snowflake6x snowflake	NA		7,400	
Frozen pillar	NA	1x large snowflake3x snowflake	NA		6,200	
Frozen sculpture	NA	1x large snowflake4x snowflake	NA		6,600	
Frozen table	NA	1x large snowflake8x snowflake	NA		8,200	
Frozen tree	NA	1x large snowflake8x snowflake	NA		8,200	
Garden bench	NA	12x wood4x iron nugget	NA	Island resident	4,440	
Garden rock	NA	15x stone	NA	Balloon	2,250	
Garden wagon	NA	3x white hyacinths3x red cosmos3x yellow roses8x wood2x iron nugget	NA	Message in a bottle	3,180	
Gemini closet	NA	3x star fragment2x Gemini fragment2x gold nugget6x stone	NA	Celeste	22,000	
Giant teddy bear	NA	1x Papa bear1x Mama bear1x Baby bear	NA	Island resident	6,300	
Golden casket	NA	8x gold nugget	NA		80,000	
Golden seat	NA	5x gold nugget	NA	Island resident	50,000	
Golden toilet	NA	6x gold nugget	NA		60,000	
Gong	NA	"6x iron nugget
5x wood"	NA	Message in a bottle	5,100	
Grass standee	NA	2x wood2x softwood	NA	"Island resident
Message in a bottle"	480	
Green-leaf pile	NA	1x young spring bamboo10x clump of weeds	NA	Balloon	600	
Hay bed	NA	20x clump of weeds	NA	DIY for Beginners	400	
Hearth	NA	2x bamboo piece5x iron nugget4x clay5x hardwood	NA	Wildest Dreams DIY	5,470	
Hedge standee	NA	2x wood3x softwood	NA	Villager	600	
Illuminated present	NA	3x red ornament4x gold ornament3x iron nugget	NA		2,950	
Illuminated reindeer	NA	6x gold ornament5x iron nugget	NA		4,350	
Illuminated snowflakes	NA	9x blue ornament3x iron nugget	NA		3,150	
Illuminated tree	NA	8x red ornament8x blue ornament6x gold ornament6x iron nugget	NA		6,700	
Iron closet	NA	12x iron nugget	NA		9,000	
Iron frame	NA	20x iron nugget	NA	"Island resident
Message in a bottle"	15,000	
Iron garden bench	NA	8x iron nugget	NA	Island resident	6,000	
Iron garden chair	NA	3x iron nugget	NA	"Tom Nook after receiving first three housing kits
Message in a bottle"	2,250	
Iron garden table	NA	5x iron nugget	NA	Tom Nook after receiving first three housing kits	3,750	
Iron hanger stand	NA	3x iron nugget	NA		2,250	
Iron worktable	NA	10x iron nugget	NA	"Island resident
Message in a bottle"	7,500	
Iron shelf	NA	14x iron nugget	NA	Island resident	10,500	
Ironwood bed	NA	20x wood10x iron nugget	NA	Message in a bottle	9,900	
Ironwood cart	NA	6x wood4x iron nugget	NA		3,720	
Ironwood chair	NA	3x wood2x iron nugget	NA	Message in a bottle	1,860	
Ironwood cupboard	NA	12x wood6x iron nugget1x ironwood dresser	NA	Island resident	9,780	
Ironwood DIY workbench	NA	12x wood6x iron nugget1x mini DIY workbench	NA	Message in a bottle	8,520	
Ironwood dresser	NA	7x wood4x iron nugget	NA		3,840	✓
Ironwood kitchenette	NA	4x wood3x iron nugget1x ironwood dresser1x cutting board	NA	Wildest Dreams DIY	7,560	
Ironwood low table	NA	6x wood4x iron nugget	NA		3,720	
Ironwood table	NA	12x wood6x iron nugget	NA	Message in a bottle	5,940	
Jail bars	NA	5x iron nugget	NA	Message in a bottle	3,750	
Juicy-apple TV	NA	10x apple2x iron nugget	NA	"Tom Nook after receiving first three housing kits, if the native fruit is apples
Message in a bottle"	3,500	
Kettle bathtub	NA	8x iron nugget2x wood1x campfire	NA	Message in a bottle	6,270	
Large cardboard boxes	NA	5x cardboard box	NA		300	
Leaf campfire	NA	3x pine cone5x clump of weeds3x tree branch	NA	Message in a bottle	1,330	
Leaf stool	NA	3x maple leaf3x wood	NA		1,560	
Lily record player	NA	5x white lilies3x iron nugget3x wood	NA	Message in a bottle	3,010	
Log bed	NA	30x hardwood	NA	Island resident	3,600	
Log bench	NA	5x hardwood	NA	Tom Nook after receiving first three housing kits	600	✓
Log decorative shelves	NA	2x log bench3x hardwood	NA	Message in a bottle	1,560	
Log dining table	NA	15x hardwood	NA	Tom Nook after receiving first three housing kits	1,800	
Log extra-long sofa	NA	2x log chair	NA	Island Resident	1,920	
Log garden lounge	NA	12x hardwood	NA	Tom Nook after receiving first three housing kits	1,440	
Log round table	NA	15x hardwood	NA	Message in a bottle	1,800	
Log chair	NA	8x hardwood	NA	Island resident	960	
Log stakes	NA	3x wood	NA	Unlocked when Tom Nook gives you your first recipes (resident representative only)	360	
Log stool	NA	4x hardwood	NA	"Island resident
Message in a bottle"	480	
Lunar lander	NA	10x star fragment15x iron nugget	NA	Celeste	16,250	
Lunar rover	NA	10x star fragment10x iron nugget4x old tire	NA		12,580	
Manhole cover	NA	3x iron nugget	NA	Nook Stop (800 Nook Miles)	2,250	
Maple-leaf pond stone	NA	10x stone3x maple leaf	NA		2,700	
Medium cardboard boxes	NA	4x cardboard box	NA		240	
Mini DIY workbench	NA	3x wood3x hardwood3x softwood2x iron nugget	NA	Test Your DIY Skills	2,580	✓
Moon	NA	15x star fragment1x large star fragment	NA	Celeste	12,500	
Mossy garden rock	NA	15xstone15x clump of weeds	NA	Message in a bottle	2,550	
Mountain standee	NA	4x wood5x softwood	NA	Message in a bottle	1,080	
Mum cushion	NA	8x yellow mums10x clump of weeds	NA	Message in a bottle	440	
Mush lamp	NA	1x skinny mushroom5x clay	NA		1,600	
Mush log	NA	2x skinny mushroom1x log stool	NA		1,680	
Mush low stool	NA	2x round mushroom	NA		800	
Mush parasol	NA	3x flat mushroom	NA		1,200	
Mush partition	NA	3x skinny mushroom	NA		1,800	
Mush table	NA	2x flat mushroom6x wood	NA		1,520	
Music stand	NA	8x hardwood	NA	"Island resident
Message in a bottle"	960	
Natural garden chair	NA	6x hardwood2x iron nugget	NA	"Message in a bottle
Tom Nook after receiving first three housing kits"	2,220	
Natural garden table	NA	9x hardwood3x iron nugget	NA	"Tom Nook after receiving first three housing kits
Island resident"	3,330	
Natural square table	NA	4x hardwood2x iron nugget	NA	Island resident	1,980	
Oil-barrel bathtub	NA	1x oil barrel1x campfire2x stone	NA	Balloon	655	
Orange end table	NA	10x orange4x wood	NA	"Message in a bottle
Tom Nook after receiving first three housing kits, if the native fruit is oranges"	2,480	
Outdoor bath	NA	20xstone1x shovel	NA	Nook Stop (3,000 Nook Miles)	4,350	
Outdoor picnic set	NA	10x cherry-blossom petal	NA	"Isabelle during morning announcement while talking about cherry blossom season
Balloon"	4,000	
Palm-tree lamp	NA	4x coconut4x wood4x clay	NA	Message in a bottle	3,280	
Pansy table	NA	5x yellow pansies3x hardwood	NA	Message in a bottle	760	
Peach chair	NA	10x peach5x wood	NA	Tom Nook after receiving first three housing kits, if the native fruit is peaches	2,600	
Pear bed	NA	10x pear6x softwood	NA	Tom Nook after receiving first three housing kits, if the native fruit is pears	2,720	
Pear wardrobe	NA	10x pear5x wood	NA	"Tom Nook after receiving first three housing kits, if the native fruit is pears
Island resident"	2,600	
Pile of leaves	NA	3x pine cone5x clump of weeds	NA		1,300	
Pile of zen cushions	NA	3x zen cushion	NA	Island resident	750	
Pisces lamp	NA	3x star fragment2x Pisces fragment2x gold nugget4x stone	NA	Celeste	22,050	
Plain sink	NA	6x wood4x clay1x iron nugget	NA	Wildest Dreams DIY	2,270	
Plain wooden shop sign	NA	6x wood	NA	Island resident	720	
Pond stone	NA	10x stone	NA	Message in a bottle	1,500	
Raccoon figurine	NA	6x clay	NA	Message in a bottle	1,200	
Red-leaf pile	NA	3x maple leaf4x clump of weeds	NA	Isabelle during morning announcement while talking about fall season	1,280	
Robot hero	NA	1x rocket1x gold armor30x rusted part90x iron nugget10x gold nugget	NA	Nook Stop (5,000 Nook Miles)	250,000	
Rocket	NA	10x star fragment20x iron nugget	NA	Celeste wandering island	20,000	
Rocking chair	NA	3x wood5x softwood	NA	Test Your DIY Skills	960	
Rocking horse	NA	5x softwood	NA	Island resident	600	
Rose bed	NA	10x red roses5x wood	NA	Message in a bottle	1,400	
Satellite	NA	10x star fragment15x iron nugget	NA	Celeste wandering island	16,250	
Sauna heater	NA	6x stone3x iron nugget3x wood	NA	Message in a bottle	3,510	
Scarecrow	NA	5x tree branch5x clump of weeds	NA		130	
Scattered papers	NA	1x document stack	NA	Island resident	400	
Scorpio lamp	NA	3x star fragment2x Scorpius fragment2x gold nugget5x stone	NA	Celeste	22,125	
Shell arch	NA	3x sea snail3x venus comb3x sand dollar3x coral3x giant clam3x cowrie	NA	Message in a bottle	12,360	
Shell bed	NA	5x giant clam3x clay4x stone	NA	"Island resident
Message in a bottle"	10,200	
Shell fountain	NA	5x giant clam3x stone	NA	Message in a bottle	9,450	
Shell partition	NA	4x venus comb4x conch	NA	Island resident	8,000	
Shell stool	NA	5x cowrie	NA	Message in a bottle	600	
Shell table	NA	7x sand dollar3x clay	NA	Island resident	2,280	
Signpost	NA	2x hardwood3x softwood	NA		600	
Silo	NA	12x iron nugget6x hardwood12x clay12x stone	NA	Nook Stop(3,000 Nook Miles)	13,920	
Simple DIY workbench	NA	5x hardwood1x iron nugget	NA	"Mail from Nintendo after the first night on the island
Message in a bottle"	1,350	
Simple well	NA	15x stone1x flimsy shovel	NA	Nook Stop (2,000 Nook Miles)	2,850	
Sleigh	NA	8x wood	NA	Message in a bottle	960	
Small cardboard boxes	NA	2x cardboard box	NA	Message in a bottleVillager	120	
Space shuttle	NA	5x star fragment10x iron nugget	NA		10,000	
Stall	NA	12x wood	NA	Nook Stop (2,000 Nook Miles)	1,440	
Standard umbrella stand	NA	3x iron nugget	NA	Message in a bottle	2,250	
Stone arch	NA	90x stone	NA	Nook Stop (2,000 Nook Miles)	13,500	
Stone lion-dog	NA	24x stone	NA		3,600	
Stone stool	NA	3x stone	NA	Unlocked when Tom Nook gives you your first recipes	450	
Stone table	NA	8x stone	NA	"Island resident
Message in a bottleTom Nook after receiving first three housing kits"	1,200	
Stone tablet	NA	12x stone	NA	Nook Stop (800 Nook Miles)	1,800	
Street piano	NA	1x upright piano1x painting set	NA	Island resident	26,755	
Swinging bench	NA	5x wood7x softwood	NA	Test Your DIY Skills	1,440	
Tall garden rock	NA	60x stone	NA	Balloon	9,000	
Tall lantern	NA	18x stone	NA		2,700	
Taurus bathtub	NA	3x star fragment2x Taurus fragment1x gold nugget8x stone	NA	Celeste	12,350	
Tea table	NA	12x hardwood	NA	Message in a bottle	1,440	
Three-tiered snowperson	NA	1x large snowflake6x snowflake2x tree branch	NA		7,420	
Tiki torch	NA	5x tree branch5x wood	NA	Tom Nook	650	
Tiny library	NA	"3x book
5x wood"	NA	Island resident	1,035	
Tire stack	NA	3x old tire	NA	Fishing up an old tire	60	
Tire toy	NA	1x old tire	NA	Fishing up an old tire	20	
Tree standee	NA	5x wood8x softwood	NA	BalloonIsland resident	1,560	
Tree's bounty arch	NA	4x pine cone5x acorn5x maple leaf15x tree branch	NA		5,750	
Tree's bounty big tree	NA	5x pine cone4x acorn4x maple leaf8x tree branch4x clay	NA		6,080	
Tree's bounty little tree	NA	6x pine cone4x acorn1x hardwood	NA	Isabelle	4,120	
Trophy case	NA	24x hardwood3x gold nugget6x iron nugget	NA		33,690	
Virgo harp	NA	3x star fragment2x Virgo fragment2x gold nugget4x stone	NA	Celeste	22,050	
Water pump	NA	2x iron nugget6x clay	NA	Tom Nook after receiving first three housing kitsMessage in a bottle	2,700	
Wave breaker	NA	10x stone10x clay	NA	Nook Stop (2,000 Nook Miles)	3,500	
Western-style stone	NA	30x stone	NA		4,500	
Wild log bench	NA	8x hardwood	NA	"Wildest Dreams DIY from Nook's Cranny
Message in a bottle"	960	
Wooden-block bed	NA	1x wooden-block toy17x softwood	NA	Island resident	2,400	
Wooden-block bench	NA	1x wooden-block toy4x softwood	NA	Island resident	840	
Wooden-block bookshelf	NA	1x wooden-block toy3x softwood	NA	Test Your DIY Skills	720	
Wooden-block chair	NA	1x wooden-block toy3x softwood	NA	"Tom Nook after receiving first three housing kits
Test Your DIY Skills"	720	
Wooden-block chest	NA	1x wooden-block toy12x softwood	NA	Island resident	1,800	
Wooden-block stereo	NA	1x wooden-block toy5x softwood2x iron nugget	NA	Tom Nook after receiving first three housing kits	2,460	
Wooden-block stool	NA	1x wooden-block toy2x softwood	NA	Island residentMessage in a bottle	600	
Wooden-block table	NA	1x wooden-block toy8x softwood	NA	Tom Nook after receiving first three housing kits	1,320	
Wooden bookshelf	NA	5x book10x wood	NA	Island resident	1,925	
Wooden bucket	NA	3x wood1x iron nugget	NA	"Island resident
Tom Nook after receiving first three housing kits"	1,110	
Wooden chair	NA	6x wood	NA	"Message in a bottle
Tom Nook after receiving first three housing kits"	720	
Wooden chest	NA	16x wood	NA	"Island resident
Message in a bottle"	1,920	
Wooden double bed	NA	30x wood	NA	Letter from harvey	3,600	
Wooden end table	NA	8x wood	NA	Island residentLetter from mom Message in a bottle	960	
Wooden full-length mirror	NA	5x wood1x iron nugget	NA	Message in a bottle	1,350	
Wooden low table	NA	10x wood	NA		1,200	
Wooden mini table	NA	6x wood	NA		720	
Wooden simple bed	NA	18x wood	NA	"Message in a bottle
Tom Nook after receiving first three housing kits"	2,160	
Wooden stool	NA	4x wood	NA	Message in a bottle	480	
Wooden table	NA	15x wood	NA		1,800	
Wooden wardrobe	NA	12x wood	NA	Tom Nook (Customization Workshop)	1,440	
Wooden waste bin	NA	4x wood	NA	Message in a bottle	480	
Yellow-leaf pile	NA	3x acorn5x clump of weeds	NA		1,300	
Zen-style stone	NA	30x stone	NA		4,500	
