Recipe Name	Image	Materials Needed	Size	Obtained From	Item Sell Price	NA
Hyacinth wreath	NA	3x white hyacinths3x red hyacinths3x yellow hyacinths	NA	Message in a bottle	720	NA
Iron doorplate	NA	2x iron nugget	NA	Balloon	1,500	NA
Iron wall lamp	NA	4x iron nugget2x clay	NA	Wildest Dreams DIY	3,400	NA
Iron wall rack	NA	3x iron nugget1x clay	NA		2,450	NA
Ironwood clock	NA	2x wood2x iron nugget	NA	Message in a bottle	1,740	NA
Key holder	NA	3x wood1x iron nugget	NA	Island resident	1,110	NA
Leo sculpture	NA	3x star fragment2x Leo fragment2x gold nugget3x stone	NA	Celeste	21,975	NA
Lily wreath	NA	3x white lilies3x red lilies3x yellow lilies	NA	Tom Nook after receiving first three housing kits, if flowers on top of the player's island are lilies;Message in a bottle	720	NA
Log wall-mounted clock	NA	2x hardwood1x iron nugget	NA		990	NA
Mum wreath	NA	3x white mums3x yellow mums3x red mums	NA	Tom Nook after receiving first three housing kits, if flowers on top of the player's island are mums.	720	NA
Mushroom wreath	NA	10x tree branch1x round mushroom1x skinny mushroom1x flat mushroom	NA		1,500	NA
Natural mum wreath	NA	10x green mums	NA		4,800	NA
Orange wall-mounted clock	NA	10x orange2x wood	NA	Tom Nook (if native fruit is oranges)	2,240	NA
Ornament mobile	NA	1x red ornament1x blue ornament1x gold ornament4x tree branch	NA		340	NA
Ornament wreath	NA	6x blue ornament2x gold ornament	NA		800	NA
Pansy wreath	NA	3x yellow pansies3x white pansies3x red pansies	NA	Tom Nook after receiving first three housing kits, if flowers on top of the player's island are pansies	720	NA
Paw-print doorplate	NA	3x wood	NA		360	NA
Potted ivy	NA	5x clump of weeds5x clay	NA	A villager after being stung	1,100	NA
Pretty cosmos wreath	NA	3x orange cosmos3x pink cosmos3x red cosmos	NA		1,200	NA
Pretty tulip wreath	NA	3x orange tulips3x pink tulips3x purple tulips	NA	Island resident	2,400	NA
Purple hyacinth wreath	NA	10x purple hyacinths	NA		4,800	NA
Rose wreath	NA	3x red roses3x white roses3x yellow roses	NA	"Island resident
Tom Nook when giving you 3 housing plots"	720	NA
Sagittarius arrow	NA	3x star fragment2x Sagittarius fragment2x gold nugget	NA	Celeste	21,750	NA
Shell wreath	NA	1x summer shell1x sea snail1x sand dollar1x coral1x giant clam	NA		4,720	NA
Snazzy pansy wreath	NA	3x yellow pansies3x orange pansies3x blue pansies	NA	Message in a bottle	1,200	NA
Snowflake wreath	NA	4x snowflake	NA		1,600	NA
Star clock	NA	3x star fragment1x iron nugget	NA	Celeste	2,250	NA
Starry garland	NA	10x star fragment	NA	Celeste	5,000	NA
Timber doorplate	NA	2x wood1x pink roses	NA	"Balloon
Island resident"	400	NA
Tree's bounty mobile	NA	2x pine cone3x acorn3x tree branch	NA		2,030	NA
Tree branch wreath	NA	10x tree branch	NA	Island resident	100	NA
Tulip wreath	NA	3x red tulips3x yellow tulips3x white tulips	NA		720	NA
Windflower wreath	NA	3x red windflowers3x white windflowers3x orange windflowers	NA	Tom Nook after receiving first three housing kits, if flowers on top of the player's island are windflowers	720	NA
Wooden-block wall clock	NA	1x wooden-block toy2x softwood1x iron nugget	NA	Message in a bottle	1350	NA
Wooden-plank sign	NA	5x hardwood	NA	Message in a bottle	600	NA
